i	dep_id	line	struct_type	struct	struct_text	inserted_by	insert_date	updated_by	update_date
7971	"10047063"	1	"L"	""	"Thrust Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7972	"10087537"	1	"L"	""	"Vertical Beds Along Which Some Movement May Have Taken Place, Near Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7973	"60000983"	2	"R"	"Anticline"	"NW TRENDING ANTICLINE (MAYACMAS ANTICLINE)"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
7974	"60000983"	1	"L"	"FAULTING"	"LOCAL FAULTS TRENDING NW, LITHOLOGIC CONTACTS"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
7975	"10024572"	1	"R"	""	"Penecontemporaneous Fault Cutting Basal Contact Of Irruptive."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7976	"10107304"	1	"R"	""	"Boulder Batholith, Lombard Overthrust"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7977	"10107304"	1	"L"	""	"Frieburg Stock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7978	"10011178"	1	"R"	""	"Hurricane Fault System"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7979	"10010548"	1	"L"	""	"Local Faultine And Precambrian And Tertiary Dike Intrusions."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7980	"10046211"	1	"L"	""	"""Northeast"" Fissure Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7981	"10048565"	1	"L"	""	"Fractguring"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7982	"10078023"	1	"L"	""	"Smaller Unnamed Faults And Folds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7983	"10071357"	1	"R"	""	"Boulder Batholith, Lombard Overthrust"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7984	"10071357"	1	"L"	""	"Aplite And Quartz Diorite Dikes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7985	"10044777"	1	"R"	""	"Jackson-Lawton Normal Fault, Diamond Tunnel Thrust Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7986	"10044777"	1	"L"	""	"North-South Series Of Interconnected Caves"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7987	"10005780"	1	"R"	""	"Fallas Y Pliegues De Rumbo General Nw."	"MRDS migration"	"29-OCT-02"	""	""
7988	"10005780"	1	"L"	""	"Pliegues Amplios Y De Suave Buzamiento."	"MRDS migration"	"29-OCT-02"	""	""
7989	"10070229"	1	"R"	""	"S. Idaho Downwarp"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7990	"10070229"	1	"L"	""	"Bed Is Exposed In An Eroded Syncline."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7991	"10079792"	1	"R"	""	"Ne-Sw Trend"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7992	"10013421"	1	"R"	""	"Sawatch Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7993	"10013421"	1	"L"	""	"Castle Creek Fault Zone, Grizzly Caldera"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7994	"10046455"	1	"L"	""	"Fracturing, Shearing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7995	"10069398"	1	"R"	""	"New Madrid Fault System, 38th Parallel Lineament"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7996	"10069398"	1	"L"	""	"Moore Hill And Levias Faults Bound The Dike-Eaton Faults At Either End"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7997	"10101808"	1	"R"	""	"Canon City Embayment, Southern Colorado Front Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7998	"10101808"	1	"L"	""	"Local Folding; Large, Nnw-Trending Syncline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7999	"10078708"	1	"L"	""	"Folding And Faulting"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8000	"10078272"	1	"R"	""	"In Uplifted Block Of Precambrian Metamorphic Rocks"	"MRDS migration"	"29-OCT-02"	""	""
8001	"10078272"	1	"L"	""	"Elk Creek And Sweetgrass Faults."	"MRDS migration"	"29-OCT-02"	""	""
8002	"10024714"	1	"R"	""	"Dneprovsk-Donetsk Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8003	"10019391"	1	"R"	""	"Boulder Batholith"	"MRDS migration"	"29-OCT-02"	""	""
8004	"10072996"	1	"R"	""	"San Rafael Swell"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8005	"10080211"	1	"R"	""	"Ne-Sw Trend, Hiwassee (Laswell) Fault, Powhatan Thrust"	"MRDS migration"	"29-OCT-02"	""	""
8006	"10080211"	1	"L"	""	"Part Of Nnw Trending Delton Tranverse Fault"	"MRDS migration"	"29-OCT-02"	""	""
8007	"10306635"	1	"R"	""	"Limestone"	"woodruff"	"03-JUL-2003 15:08:41"	""	""
8008	"10306888"	1	"R"	""	"Intermediate Tuffs And Flows"	"woodruff"	"28-OCT-2003 08:53:00"	""	""
8009	"10046250"	1	"R"	""	"Pre-Mineralization Faulting And Tilting"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8010	"10046250"	1	"L"	""	"Main Fault Directions, N10w To N40e, S30w To N50w, Pre-Mineralization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8011	"10027134"	1	"R"	""	"Steep Northerly Trending Zones Of Shearing And Brecciation In Brownish Red Basalt Overlain By Light Pink Rhyolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8012	"10027134"	1	"L"	""	"2 Roughly Parallel Shear Zones Separated By Highly Altered Basalt Of Varying Thickness; Manganese Deposits Confined To Basalt"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8013	"10087845"	1	"R"	""	"Front Range Uplift, Pikes Peak Batholith, Rampart Range Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8014	"10087845"	1	"L"	""	"Perry Park-Jarre Canyon Fault, Rampart Range Fault, Manitou Park Half Graben"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8015	"10014049"	1	"R"	""	"San Juan Volcanic Field, Creede Caldera"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8016	"10014049"	1	"L"	""	"Deep Crek Graben"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8017	"10025909"	1	"R"	""	"East Of Brevard Fault Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8018	"10025909"	1	"L"	""	"Small Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8019	"10101856"	1	"R"	""	"Front Range Uplift, Sherman Batholith"	"MRDS migration"	"29-OCT-02"	""	""
8020	"10101856"	1	"L"	""	"Skin Gulch Shear Zone, Clark Synform"	"MRDS migration"	"29-OCT-02"	""	""
8021	"10048234"	1	"R"	""	"Foliation In Proterozoic Rocks Trends N20e"	"MRDS migration"	"29-OCT-02"	""	""
8022	"10048234"	1	"L"	""	"Veins Trend N60w And Crosscut Precambrian Foliation"	"MRDS migration"	"29-OCT-02"	""	""
8023	"10310139"	1	"R"	""	"Syncline"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
8024	"10037016"	1	"R"	""	"Getchell Fault Cuts S. End Of Ore Body"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8025	"10037016"	1	"L"	""	"Fault Along Front Of Range"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8026	"10102133"	1	"R"	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8027	"10039379"	1	"L"	""	"Lava Flows Found In A Lens Shaped Body.  They Overlie Each Other And Decrease In Age To The East."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8028	"10096889"	1	"L"	""	"Virgin Anticline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8029	"10048311"	1	"R"	""	"Ew To Ene Ryodacite Porphyr Dikes, And Quartz Latite Dikes"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8030	"10048311"	1	"L"	""	"Contact Between Lcret Quartz Diorite To N And Prec Granite To S"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8031	"10306761"	1	"R"	""	"Pegmatite"	"woodruff"	"28-OCT-2003 08:53:00"	""	""
8032	"10072718"	5	"L"	"Faults"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
8033	"10072718"	1	"R"	"Faults"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
8034	"10046990"	1	"L"	""	"Normal Faults (Fault Horses Occur Within The Vein)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8035	"10025858"	1	"R"	""	"Northeast-Trending Strike Belts"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8036	"10079047"	1	"R"	""	"Unique Continuity Of Gold-Bearing Horizons Over Extended Area, Though Well Marked By Faulting And Folding, And (Locally) Erosion And Redeposition Of Overlying Sediment"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8037	"10079047"	1	"L"	""	"Gentle Dips Near Surface, Increasing To 80 Degrees (South) At Current Maximum Mining Depths.  Folds And Faults Locally.  Intrusive Dikes Penetrate And Dilute Minable Ore Horizons."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8038	"10046059"	1	"L"	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8039	"10014887"	1	"R"	""	"Uinta-Cottonwood Arch, Cordilleran Hingeline, Sevier Overthrust Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8040	"10014887"	1	"L"	""	"Northeast Striking Fissure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8041	"10020443"	1	"R"	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8042	"10020443"	1	"L"	""	"A Faulted Homocline Striking N 20 Deg. W And Dipping 30 Deg. Sw"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8043	"10025847"	1	"R"	""	"Northeast-Trending Strike Belts"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8044	"10101648"	1	"R"	""	"Drum Mtns Homocline Strikes Ne Dips W"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8045	"10101648"	1	"L"	""	"Local Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8046	"60001648"	2	"R"	""	"NS FOLDING, COMPLEX FAULTING"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8047	"60001648"	1	"L"	""	"N-TRENDING FOLDS, INTERSECTED BY E-W FOLDING, = THRUSTING AND LOCAL ""POT HOLE"" STRUCTURES"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8048	"10094380"	1	"L"	""	"East Crescent Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8049	"10042318"	1	"R"	""	"Pioche Mineral Belt, Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8050	"10042318"	1	"L"	""	"East-West Striking Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8051	"60000503"	2	"R"	""	"LAYERS IN A STRATIFORM INTRUSION"	"MRDS migration"	"30-SEP-07"	""	""
8052	"10101772"	1	"R"	""	"Sangre De Cristo Range, Sierra Blanca Massif, Rio Grande Rift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8053	"10101772"	1	"L"	""	"Sangre De Cristo Fault, Independence Mine Fault, ""A"" Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8054	"10306812"	1	"R"	""	"Quartz-Chlorite Schist"	"woodruff"	"28-OCT-2003 08:53:00"	""	""
8055	"10070464"	1	"L"	""	"Aplite Intrusion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8056	"10035197"	1	"L"	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8057	"10044146"	1	"L"	""	"Steep North Trending Fault, Northeast Trending Transcurrent Fault."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8058	"10012404"	1	"L"	""	"Eberle Mine Is Located At The Intersection Of The Maud S. Vein And The Queen Vein."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8059	"10069972"	1	"L"	""	"In Places, 1 Ft. Gouge."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8060	"10024204"	1	"R"	""	"Fallamiento En Bloques"	"MRDS migration"	"29-OCT-02"	""	""
8061	"10019938"	1	"L"	""	"North Striking Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8062	"10087866"	1	"R"	""	"Sawatch Uplift, Central Colorado Trough, Piceance Creek Basin, Elk Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8063	"10087866"	1	"L"	""	"White Rock Pluton, Elk Range Thrust Fault, Castle Creek Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8064	"10080109"	1	"R"	""	"Ne-Sw Trend"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8065	"10080109"	1	"L"	""	"Faults?"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8066	"10025962"	1	"L"	""	"Pegmatite Is Concordant With The Foliation Of The Enclosing Country Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8067	"10067226"	1	"R"	""	"Virgilina Synclinorium"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8068	"10013367"	1	"R"	""	"Northern Wet Mountains, Canon City Embayment, Thirtynine Mile Volcanic Field"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8069	"10013367"	1	"L"	""	"Cotopaxi Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8070	"10045310"	1	"R"	""	"Ne-Striking Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8071	"10045310"	1	"L"	""	"Strong Folding With Local Overturning, Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8072	"10068471"	1	"R"	""	"North Trending Folds, Faults, And Plutonic Masses"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8073	"10057671"	1	"L"	""	"Fault At N35e"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8074	"10088215"	1	"R"	""	"Red Hills Caldera And Central Intrusive"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8075	"10043805"	1	"R"	""	"Walker Lane Structures"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8076	"10097938"	1	"L"	""	"Small Displacement Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8077	"10024315"	1	"R"	""	"Layered Intrusion"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8078	"10085691"	1	"L"	""	"This Prospect Occurs Along A Branch Of The Wind Canyon Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8079	"10306552"	1	"R"	""	"Limestone"	"woodruff"	"03-JUL-2003 15:08:41"	""	""
8080	"10088447"	1	"R"	""	"Beaver Dam Mts., A Nw-Trending Uplift At The Boundary Between The Basin And Range Province And The Colorado Plateau"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8081	"10088447"	1	"L"	""	"Apex Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8082	"10013144"	1	"R"	""	"San Juan Uplift (San Juan Mountains), La Plata Mountains Dome"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8083	"10013144"	1	"L"	""	"Small Ne-Trending Fault About 0.75 Mile To The Northwest; Three Nearly Vertical Fracture Zones, 15 To 20 Ft Apart, All Parallel To Dike; Two Small Fracture Zones Nearly At Right Angles To Dike"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8084	"10025839"	1	"R"	""	"Northeast-Trending Strike Belts"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8085	"10102133"	1	"L"	""	"Fracture Zone (N15e, 25; 30nw), Folds And Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8086	"10087387"	1	"R"	""	"Basin & Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8087	"10087387"	1	"L"	""	"Area Is Bounded By 2 N-S Faults & Is Shattered W-Sw"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8088	"10020021"	1	"R"	""	"Oquirrh Mtns."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8089	"10020021"	1	"L"	""	"Ophir Anticline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8090	"10027677"	1	"L"	""	"Schistosity Of Metasediments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8091	"10101607"	1	"R"	""	"Sevier Thrust System"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8092	"10101607"	1	"L"	""	"Granite Mtn. Intrusion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8093	"10096976"	1	"L"	""	"Una Falla Premineral De Gravedad Hunde El Bloque Norte Con Respecto Al Bloque Sur Cerca Del Tope Del Nivel 2.  Las Fracturas Preminerales Tienen Orientaciones Semi-Paralelas Entre Si Con Direccion N-50-60-E Y Buzamientos 50-55-Sw; Y Las Fracturas Post-Minerales Tienen Orientacion N-30-40-E Con Buzamientos 45-65-Nw."	"MRDS migration"	"29-OCT-02"	""	""
8094	"10307148"	1	"R"	""	"Biotitite"	"woodruff"	"28-OCT-2003 08:53:00"	""	""
8095	"10072967"	1	"R"	""	"San Rafael Swell (Se Flank)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8096	"60000412"	1	"L"	""	"THE DRUM MOUNTAINS FORMS A WESTWARD-DIPPING MONOCLINE. THESE ROCKS ARE CUT BY MANY EASTWARD AND NE TRENDING STEEPLY DIPPING NORMAL AND REVERSE FAULTS."	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8097	"10021992"	1	"R"	""	"Wichita Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8098	"10021992"	1	"L"	""	"Reformatory Granite Intrusive"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8099	"10021993"	1	"R"	""	"Wichita Mountains"	"MRDS migration"	"29-OCT-02"	""	""
8100	"10021993"	1	"L"	""	"Reformatory Granite Intrusive"	"MRDS migration"	"29-OCT-02"	""	""
8101	"10021995"	1	"R"	""	"Wichita Mountains"	"MRDS migration"	"29-OCT-02"	""	""
8102	"10021995"	1	"L"	""	"Reformatory Granite Intrusive"	"MRDS migration"	"29-OCT-02"	""	""
8103	"10091736"	1	"R"	""	"Gentle Nw Dip Of 30 Ft/Mi Or Less, Off Matador Arch"	"MRDS migration"	"29-OCT-02"	""	""
8104	"10101692"	1	"R"	""	"Basin & Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8105	"10101692"	1	"L"	""	"Tilted Fault Block That Dips 20-45 Deg. W. And Faults That Trend N-Nw & W-Nw"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8106	"10011406"	1	"R"	""	"Wasatch Fault"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8107	"10088445"	1	"R"	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8108	"10013641"	1	"R"	""	"Royal Stock"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8109	"10070085"	1	"R"	""	"Area Appears To Be On The North Limb Of A Faulted Anticline Of General N.E. Trend"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8110	"10310090"	1	"R"	""	"Syncline"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
8111	"10012566"	1	"L"	""	"Bonanza Caldera"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8112	"10012566"	1	"R"	""	"Sawatch Range, San Juan Volcanic Field, Rio Grande Rift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8113	"10077141"	1	"R"	""	"East-West Trending Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8114	"10077141"	1	"L"	""	"Nw Striking Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8115	"10046212"	1	"R"	""	"In Ajax Hill Horst Area, W Of Small E-W Faults On Military Hill"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8116	"10046212"	1	"L"	""	"Fissure Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8117	"10104018"	1	"L"	""	"Post-Ore Faulting"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8118	"10020410"	1	"R"	""	"Basin & Range/Sevier Orogenic Structures Including A Ne Trending Asymmetrical Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8119	"10020410"	1	"L"	""	"The Juab Fault Zone & Other Fractures Which Strike N70w & East-West"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8120	"10306101"	1	"R"	""	"Limestone"	"woodruff"	"03-JUL-2003 15:08:41"	""	""
8121	"10011426"	1	"R"	""	"Uinta Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8122	"10101564"	1	"L"	""	"Vein Abuts Against Dolomite-Shale Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8123	"10025207"	1	"L"	""	"Syncline Northwest Of Thrust Fault Between Northwest And Southeast Blocks Of The Bald Mountain Thrust Sheet"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8124	"10094559"	1	"R"	""	"Thirtynine Mile Volcanic Field, Currant Creek Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8125	"10094559"	1	"L"	""	"Echo Park Graben, Paleovalleys"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8126	"10042079"	1	"R"	""	"North Limb Of Uinta Arch, Wasatch Fault"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8127	"10042079"	1	"L"	""	"Alta Thrust Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8128	"10087310"	1	"R"	""	"Uinta Uplift."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8129	"10010254"	1	"R"	""	"North Branch Of The Osburn Fault, The Major Structural Feature Of The Region, Is Directly To The S And Trends Nw As Do Most Structural Features Within The Region."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8130	"10070086"	1	"R"	""	"Ne - Trending Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8131	"10042128"	1	"R"	""	"On West Limb Of Ophir Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8132	"10034268"	1	"L"	""	"Fault 40 Ft. Wide, Strikes Due East, Dips Steeply North"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8133	"10074401"	1	"L"	""	"Folds"	"woodruff"	"12-OCT-2004 10:30:34"	""	""
8134	"60000618"	2	"R"	""	"STRUCTURAL EMBAYMENTS AT BASE OF ULTRAMAFIC LAVA FLOW ALONG CONTACT WITH UNDERLYING BASALT"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8135	"10087800"	1	"L"	""	"N 37 W Trending Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8136	"10006112"	1	"R"	""	"N-S Syncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8137	"10088224"	1	"L"	""	"Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8138	"10066594"	1	"L"	""	"Joint Set Of N45e, 50nw."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8139	"10068815"	1	"R"	""	"During Mineralization:  Growth Faults And Slumping In A Shallow Marine Basin.  Post-Ore:  Two Phases Of Gentle, Open Folding (Lord?, Mpal-Lpal?), E-W Compression And Extension (Ljur-Ecret), Intrusion With Local Doming And Fracturing (Ecret), Thrust-Faulting (Ltert)"	"MRDS migration"	"29-OCT-02"	""	""
8140	"10068815"	1	"L"	""	"On East Limb Of A Post-Ore N-S Trending Syncline, Bounded, Deformed, And Disrupted By Post-Ore Folding, Faulting, And Intrusion"	"MRDS migration"	"29-OCT-02"	""	""
8141	"10049001"	1	"L"	""	"Ne Trending Normal Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8142	"10060476"	1	"L"	""	"N55e Alignment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8143	"10049190"	1	"L"	""	"Premineral Fault: N 0-20 E, 25-60 E."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8144	"10088554"	1	"R"	""	"Fallas"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8145	"10040929"	1	"L"	""	"Nw Trending - Ne Dipping Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8146	"60001603"	2	"R"	""	"NNE"	"MRDS migration"	"30-SEP-07"	""	""
8147	"10058200"	1	"L"	""	"Morro Hediondo Caldera"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8148	"10005657"	1	"L"	""	"Fracturas Y Fallas"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8149	"60001215"	1	"L"	"LINEAMENT"	"NW LINEAMENTS"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8150	"10111489"	1	"R"	""	"Caroni River Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8151	"10013410"	1	"R"	""	"Uinta Uplift, Uinta Basin, Yampa Plateau, Douglas Creek Arch, Piceance Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8152	"10013410"	1	"L"	""	"Red Wash Syncline, Willow Creek Anticline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8153	"10026124"	1	"R"	""	"Northeast-Trending Strike Belts Define A Major Syncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8154	"10021205"	1	"R"	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8155	"10103742"	1	"R"	""	"Block Faulting Trending Nnw; Minor Pre-Cretaceous E To Ne Trending Folds"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8156	"10103742"	1	"L"	""	"Waterfall Canyon Fault Offsetting Grand Reef Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8157	"10080037"	1	"R"	""	"Ne-Sw Trend, Scottsville Basin, Triassic Border Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8158	"10044247"	1	"L"	""	"Bedrock Strikes N 70-85 W, Dip 70 Sw."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8159	"10011321"	1	"R"	""	"Margsvale-Pioche Mineral Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8160	"10021003"	1	"R"	""	"N. Flank, Big Cottonwood Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8161	"10310011"	2	"L"	""	"Relatively flat lying"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
8162	"10310011"	1	"R"	""	"Michigan basin"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
8163	"10014226"	1	"R"	""	"San Juan Uplift, Paradox Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8164	"10014226"	1	"L"	""	"Rico Dome"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8165	"10094708"	1	"R"	""	"Uinta-Cottonwood Arch, Cordilleran Hinge Line"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
