i	id	tblorder	tblname	number	label	category	short_desc	description	link	origin	sqltype	dbftype	width	prec	units
164	181	16	"materials"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
165	182	16	"materials"	2	"REC"	"Metadata"	"Sub-record"	"Sequence index of this materials record among those associated with the site."	""	""	"int"	"N"	8		""
166	183	16	"materials"	3	"ORE_GANGUE"	"Site characteristics"	"Material role"	"Category term indicating the role played by the material: ore, gangue, or trace.  Ore contains the recovered commodity.  Gangue is waste or contaminant.  Trace is low concentration but geologically significant."	""	""	"varchar"	"C"	8		""
167	184	16	"materials"	4	"MATERIAL"	"Site characteristics"	"Material"	"Name of a material present at the site.  Primarily International Mineralogical Association (IMA) approved  mineral names, but also includes ore-commodity terms such as marble."	""	""	"varchar"	"C"	30		""
168	185	16	"materials"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
169	186	16	"materials"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
170	187	16	"materials"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
171	188	16	"materials"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
172	190	17	"model"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
173	191	17	"model"	2	"REC"	"Metadata"	"Sub-record"	"Sequence index of this deposit model among those assigned to the site."	""	""	"int"	"N"	8		""
174	192	17	"model"	3	"MODEL_NAME"	"Site characteristics"	"Deposit model name"	"Name or short title of the mineral deposit model to which the site conforms"	""	""	"varchar"	"C"	70		""
175	193	17	"model"	4	"MOD_CD"	"Site characteristics"	"Model code"	"Unique identifier of the deposit model, a value specific to MRDS."	""	""	"int"	"N"	8		""
176	194	17	"model"	5	"USGS_NUM"	"Site characteristics"	"USGS deposit model ID"	"Identifying code for the deposit model, from USGS publications such as Cox and Singer (1986, USGS Bulletin 1693)"	""	""	"varchar"	"C"	15		""
177	195	17	"model"	6	"BC_NUM"	"Site characteristics"	"BC number"	"Identifying code for the deposit model according to the geological survey of British Columbia (Canada)"	""	""	"varchar"	"C"	15		""
178	196	17	"model"	7	"MK3_NUM"	"Site characteristics"	"Mark3 number"	"Identifying code for the deposit model used in the mineral resource simulation program Mark 3."	""	""	"varchar"	"C"	15		""
179	197	17	"model"	8	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
180	198	17	"model"	9	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
181	199	17	"model"	10	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
182	200	17	"model"	11	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
183	202	18	"names"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
184	203	18	"names"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
185	204	18	"names"	3	"NAME"	"Site identification"	"Site name"	"Text of the site name"	""	""	"varchar"	"C"	110		""
186	205	18	"names"	4	"STATUS"	"Site identification"	"Name status"	"Status of the name, current or alternate"	""	""	"varchar"	"C"	12		""
187	206	18	"names"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
188	207	18	"names"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
189	208	18	"names"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
190	209	18	"names"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
191	211	19	"orebody"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
192	212	19	"orebody"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
193	213	19	"orebody"	3	"OREBODY_NAME"	"Site characteristics"	"Orebody name"	"The name of the orebody, such as ""West Chance Vein"" or ""Toro Mocho Contact Pipes"".  It may be the entire deposit."	""	""	"varchar"	"C"	100		""
194	214	19	"orebody"	4	"FORM"	"Site characteristics"	"Orebody form"	"Shape of the orebody, such as ""tabular"", or ""pinch and swell""."	""	""	"varchar"	"C"	3000		""
195	215	19	"orebody"	5	"AREA"	"Site characteristics"	"Orebody area"	"Area of the orebody in map view.  Units are hectares (1 km x 1 km) unless specified otherwise in AREA_U field."	""	""	"double"	"N"	8		""
196	216	19	"orebody"	6	"AREA_U"	"Site characteristics"	"Orebody area units"	"Units of the field AREA"	""	""	"varchar"	"C"	5		""
197	217	19	"orebody"	7	"LEN"	"Site characteristics"	"Orebody length"	"The length of the orebody in map view.  Units are meters unless specified otherwise in LEN_U."	""	""	"double"	"N"	8		""
198	218	19	"orebody"	8	"LEN_U"	"Site characteristics"	"Orebody length units"	"Units for orebody length."	""	""	"varchar"	"C"	2		""
199	219	19	"orebody"	9	"WID"	"Site characteristics"	"Orebody width"	"Width of the orebody in map view.  Units are meters unless specified otherwise in WID_U field."	""	""	"double"	"N"	8		""
200	220	19	"orebody"	10	"WID_U"	"Site characteristics"	"Orebody width units"	"Units of the orebody width."	""	""	"varchar"	"C"	2		""
201	221	19	"orebody"	11	"DEPTH_TOP"	"Site characteristics"	"Depth to top of orebody"	"The depth to the top of the orebody.  The vertical distance from the surface of the earth to the top of the orebody.  Units are meters."	""	""	"double"	"N"	8		""
202	222	19	"orebody"	12	"DEPTH_TOP_U"	"Site characteristics"	"Orebody top depth units"	"Units for the depth to orebody top."	""	""	"varchar"	"C"	2		""
203	223	19	"orebody"	13	"DEPTH_BOT"	"Site characteristics"	"Depth to bottom of orebody"	"The depth to the bottom of the orebody.  The vertical distance from the surface of the earth to the bottom of the orebody.  Units are meters."	""	""	"double"	"N"	8		""
204	224	19	"orebody"	14	"DEPTH_BOT_U"	"Site characteristics"	"Orebody bottom depth units"	"Units for depth to orebody bottom."	""	""	"varchar"	"C"	2		""
205	225	19	"orebody"	15	"THICK"	"Site characteristics"	"Orebody thickness"	"Thickness of the orebody, in meters unless specified otherwise in THICK_U."	""	""	"double"	"N"	8		""
206	226	19	"orebody"	16	"THICK_U"	"Site characteristics"	"Orebody thickness units"	"Orebody thickness units."	""	""	"varchar"	"C"	2		""
207	227	19	"orebody"	17	"STRIKE"	"Site characteristics"	"Strike of orebody"	"The course or bearing of the orebody on an imaginary level surface.  For bedded orebodies, the direction of a horizontal line, perpendicular to the dip.  For instance, ""NE"", ""N44E"", or ""044""."	""	""	"varchar"	"C"	250		""
208	228	19	"orebody"	18	"DIP"	"Site characteristics"	"Orebody dip"	"The angle at which the orebody is inclined from the horizontal, measured perpendicular to the strike, and in the vertical plane."	""	""	"varchar"	"C"	250		"degrees"
209	229	19	"orebody"	19	"PLUNGE"	"Site characteristics"	"Orebody plunge"	"The vertical angle between a horizontal plane and the line of maximum elongation (length) of an orebody."	""	""	"varchar"	"C"	100		"degrees"
210	230	19	"orebody"	20	"PLUNGE_DIR"	"Site characteristics"	"Plunge direction"	"The course or bearing of the plunge of the orebody."	""	""	"varchar"	"C"	200		""
211	231	19	"orebody"	21	"MAS_MATRIX"	"Site characteristics"	"Additional information"	"Orebody information from the former MAS/MILS records."	""	""	"varchar"	"C"	3000		""
212	232	19	"orebody"	22	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
213	233	19	"orebody"	23	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
214	234	19	"orebody"	24	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
215	235	19	"orebody"	25	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
216	237	20	"ore_control"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
217	238	20	"ore_control"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
218	239	20	"ore_control"	3	"ORE_CTRL"	"Site characteristics"	"Ore control terms"	"Terms categorizing controls on ore emplacement."	""	""	"varchar"	"C"	75		""
219	240	20	"ore_control"	4	"ORE_CTRL_TEXT"	"Site characteristics"	"Ore control text"	"Descriptive text concerning controls on ore emplacement, from old MRDS."	""	""	"varchar"	"C"	1720		""
220	241	20	"ore_control"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
221	242	20	"ore_control"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
222	243	20	"ore_control"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
223	244	20	"ore_control"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
224	246	21	"other_dbs"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
225	247	21	"other_dbs"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
226	248	21	"other_dbs"	3	"CODE"	"Metadata"	"Other database code"	"Unique identifier of the other database, applicable only within MRDS."	""	""	"varchar"	"C"	12		""
227	249	21	"other_dbs"	4	"DB_NAME"	"Site identification"	"Database name"	"Name of the other database"	""	""	"varchar"	"C"	70		""
228	250	21	"other_dbs"	5	"AGENCY"	"Site identification"	"Agency"	"Agency responsible for the other database"	""	""	"varchar"	"C"	125		""
229	251	21	"other_dbs"	6	"REC_ID"	"Site identification"	"Other database record ID"	"The record ID for this site in the other database."	""	""	"varchar"	"C"	30		""
230	252	21	"other_dbs"	7	"NOTE"	"Metadata"	"Other database note"	"Information about the nature of the foreign data or database, such as whether the record originated with the foreign dbms or with MRDS, the website location for the foreign database."	""	""	"varchar"	"C"	100		""
231	253	21	"other_dbs"	8	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
232	254	21	"other_dbs"	9	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
233	255	21	"other_dbs"	10	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
234	256	21	"other_dbs"	11	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
235	258	22	"ownership"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
236	259	22	"ownership"	2	"REC"	"Metadata"	"Sub-record"	"Sequence index of this ownership record among those associated with the given resource."	""	""	"int"	"N"	8		""
237	260	22	"ownership"	3	"OWNER_NAME"	"Site characteristics"	"Owner name"	"The name of the owner or operator.  Can be an individual proprietor, partners, or company name. "	""	""	"varchar"	"C"	100		""
238	261	22	"ownership"	4	"OWNER_TP"	"Site characteristics"	"Owner type"	"The type or status of the owner/operator, such as ""Owner"", ""Operator"", or ""Lease""."	""	""	"varchar"	"C"	22		""
239	262	22	"ownership"	5	"PCT"	"Site characteristics"	"Ownership percent"	"The percent interest the owner/operator has in the site."	""	""	"double"	"N"	8		""
240	263	22	"ownership"	6	"HOME_OFF_LOC"	"Site characteristics"	"Home office location"	"Home office location - the address of the owner or operator.  Rarely current, this information is likely useful only for historical research.  Current ownership of land or mineral rights is best found through the appropriate tax authorities at the local or state levels."	""	""	"varchar"	"C"	170		""
241	264	22	"ownership"	7	"INFO_YR"	"Site characteristics"	"Ownership currentness"	"Information year - the date of the information in this record."	""	""	"varchar"	"C"	4		""
242	265	22	"ownership"	8	"BEG_YR"	"Site characteristics"	"Ownership beginning year"	"Beginning year - the first year of ownership or operation for this OWNER_NAME at this site."	""	""	"varchar"	"C"	4		""
243	266	22	"ownership"	9	"END_YR"	"Site characteristics"	"Ownership ending year"	"Ending year - the last year of ownership or operation for this OWNER_NAME at this site."	""	""	"varchar"	"C"	4		""
244	267	22	"ownership"	10	"COMPANY_ID"	"Site identification"	"MSHA number"	"The Mine Safety and Health Administration (MSHA) reference number for this site.  This number is operator specific - that is, when an operator moves the operation to another site (as is often the case for sand & gravel or crushed and broken stone operations), the number goes with the operator to the new location.  Similarly, when an operation is sold, MSHA will usually assign a new number at the next inspection."	""	""	"varchar"	"C"	7		""
245	268	22	"ownership"	11	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
246	269	22	"ownership"	12	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
247	270	22	"ownership"	13	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
248	271	22	"ownership"	14	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
249	273	23	"physiography"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
250	274	23	"physiography"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
251	275	23	"physiography"	3	"P_CODE"	"Geographic location"	"Physiographic area code"	"Unique identifier for the physiographic area, applies only within MRDS."	""	""	"int"	"N"	8		""
252	276	23	"physiography"	4	"PHYS_DIV"	"Geographic location"	"Physiographic division"	"General physiographic area"	""	""	"varchar"	"C"	40		""
253	277	23	"physiography"	5	"PHYS_PROV"	"Geographic location"	"Physiographic province"	""	""	""	"varchar"	"C"	40		""
254	278	23	"physiography"	6	"PHYS_SECT"	"Geographic location"	"Physiographic section"	""	""	""	"varchar"	"C"	40		""
255	279	23	"physiography"	7	"PHYS_DET"	"Geographic location"	"Physiographic area detail"	"Details of the physiographic area, such as ""Rio Grande Rift"".  Also contains entries from old_MRDS database."	""	""	"varchar"	"C"	90		""
256	280	23	"physiography"	8	"PD_CODE"	"Geographic location"	"Physiographic division code"	""	""	""	"varchar"	"C"	3		""
257	281	23	"physiography"	9	"PP_CODE"	"Geographic location"	"Physiographic province code"	""	""	""	"varchar"	"C"	3		""
258	282	23	"physiography"	10	"PS_CODE"	"Geographic location"	"Physiographic section code"	""	""	""	"varchar"	"C"	4		""
259	283	23	"physiography"	11	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
260	284	23	"physiography"	12	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
261	285	23	"physiography"	13	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
262	286	23	"physiography"	14	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
263	288	24	"plss_coordinates"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
264	289	24	"plss_coordinates"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
265	290	24	"plss_coordinates"	3	"LU_CODE"	"Metadata"	"Location code"	"Unique identifier for the location, applies only within MRDS"	""	""	"int"	"N"	8		""
266	291	24	"plss_coordinates"	4	"STATE"	"Geographic location"	"US State"	"State containing the site"	""	""	"varchar"	"C"	80		""
267	292	24	"plss_coordinates"	5	"STATE_CD"	"Metadata"	"State code"	"FIPS code of the state"	""	"FIPS 5-2"	"varchar"	"C"	2		""
268	293	24	"plss_coordinates"	6	"MERIDIAN"	"Geographic location"	"Meridian"	"Name of the meridian governing the PLSS information"	""	""	"varchar"	"C"	30		""
269	294	24	"plss_coordinates"	7	"TOWNSHIP"	"Geographic location"	"Township"	"The township number and direction. The first three characters are the township number with leading zeros, the fourth character is either blank or contains a plus sign (+) to indicate a fractional township. The fifth character locates the township north (N) or south (S) of the base line (e.g., ""T 32 N"" is entered as ""032 N"", and ""T 104-1/2 S"" is ""104+S"").  Multiple townships are separated by semicolons."	""	""	"varchar"	"C"	100		""
270	295	24	"plss_coordinates"	8	"RANGE"	"Geographic location"	"Range"	"The range number and direction in the same format as TOWNSHIP except directions are (E) and (W)."	""	""	"varchar"	"C"	350		""
271	296	24	"plss_coordinates"	9	"SECTION"	"Geographic location"	"Section"	"The section number, 01 to 36, including leading zero, separated by commas.  Section numbers in other TOWNSHIPS and RANGES are separated by semicolons."	""	""	"varchar"	"C"	250		""
272	297	24	"plss_coordinates"	10	"SECT_FRACT"	"Geographic location"	"Section fraction"	"Section fraction abbreviations:  C = center, N2 = north half, S2 = south half, etc, NE = northeast quarter, NW = northwest quarter, etc.  For example: NWSESW is the northwest quarter of the southeast quarter of the southwest quarter."	""	""	"varchar"	"C"	200		""
273	298	24	"plss_coordinates"	11	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
274	299	24	"plss_coordinates"	12	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
275	300	24	"plss_coordinates"	13	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
276	301	24	"plss_coordinates"	14	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
277	303	25	"production"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
278	304	25	"production"	2	"YR_BA"	"Production and resources"	"Production year modifier"	"Before (<) or after (>) symbols, specifying whether production occurred before or after the date in YR."	""	""	"varchar"	"C"	1		""
279	305	25	"production"	3	"YR"	"Production and resources"	"Production year"	"The year of the production information, or the ending year of cumulative production."	""	""	"varchar"	"C"	4		""
280	306	25	"production"	4	"REC"	"Metadata"	"Sub-record"	"Sequence index of this production record, among those associated with the site."	""	""	"int"	"N"	8		""
281	307	25	"production"	5	"CUM_PER"	"Production and resources"	"Cumulative period of production"	"Text description of the production period, like ""Pre-Civil War to 1945""."	""	""	"varchar"	"C"	175		""
282	308	25	"production"	6	"ENTRY_TP"	"Production and resources"	"Production entry type"	"Type of production period - ""Y"" for a single year, ""C"" for cumulative range of years."	""	""	"varchar"	"C"	1		""
283	309	25	"production"	7	"MINED"	"Production and resources"	"Amount mined"	"The amount of ore mined or material processed during the specified time period."	""	""	"double"	"N"	8		""
284	310	25	"production"	8	"UNITS"	"Production and resources"	"Production units"	"Mined units, such as grams, metric tons, or cubic meters."	""	""	"varchar"	"C"	30		""
285	311	25	"production"	9	"ITEM"	"Production and resources"	"Type of material produced"	"The type of material mined or processed, such as ""ore"" or ""concentrate"""	""	""	"varchar"	"C"	200		""
286	312	25	"production"	10	"ACC"	"Production and resources"	"Production accuracy"	"Accuracy of the MINED number, ""Acc"" for accurate, ""Est"" for estimated."	""	""	"varchar"	"C"	20		""
287	313	25	"production"	11	"BEST_REC"	"Production and resources"	"Record quality"	"This has been determined to be the best record to use for aggregated totals or other computations, when multiple records may exist for this dep_id, yr, rec, and entry_tp combination."	""	""	"varchar"	"C"	1		""
288	314	25	"production"	12	"WORK_CMT"	"Production and resources"	"Production comment"	"Textual information related to production carried forward from the predecessor databases old MRDS and MAS/MILS."	""	""	"varchar"	"C"	2000		""
289	315	25	"production"	13	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
290	316	25	"production"	14	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
291	317	25	"production"	15	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
292	318	25	"production"	16	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
293	320	26	"production_detail"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
294	321	26	"production_detail"	2	"YR"	"Production and resources"	"Production year"	"Year copied from the parent production table row."	""	""	"varchar"	"C"	4		""
295	322	26	"production_detail"	3	"REC"	"Metadata"	"Sub-record"	"Sequence index of this production detail record among those associated with the given production record and year for this site."	""	""	"int"	"N"	8		""
296	323	26	"production_detail"	4	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
297	324	26	"production_detail"	5	"CODE"	"Production and resources"	"Commodity code"	"Abbreviated form of the commodity"	""	""	"varchar"	"C"	6		""
298	325	26	"production_detail"	6	"COMMOD"	"Production and resources"	"Commodity"	"Name of the commodity"	""	""	"varchar"	"C"	40		""
299	326	26	"production_detail"	7	"COMMOD_GROUP"	"Production and resources"	"Commodity group"	"Group of the commodity, such as PGE for platinum-group elements"	""	""	"varchar"	"C"	40		""
300	327	26	"production_detail"	8	"IMPORT"	"Production and resources"	"Commodity importance"	"Commodity importance"	""	""	"varchar"	"C"	15		""
301	328	26	"production_detail"	9	"ITEM"	"Production and resources"	"Material produced"	"Further description of the material produced, such as ""Ore"", ""Concentrate"", ""Metal"", ""WO3"", or ""Copper oxides""."	""	""	"varchar"	"C"	18		""
302	329	26	"production_detail"	10	"PCT"	"Production and resources"	"Recovery percentage"	"The recovery percentage for this commodity from the ore amount specified in the parent table PROD, MINED field."	""	""	"double"	"N"	8		""
303	330	26	"production_detail"	11	"AMT"	"Production and resources"	"Recovery amount"	"The amount of the commodity recovered."	""	""	"double"	"N"	8		""
304	331	26	"production_detail"	12	"UNITS"	"Production and resources"	"Recovery units"	"The units for the amount of the commodity recovered."	""	""	"varchar"	"C"	15		""
305	332	26	"production_detail"	13	"GRD"	"Production and resources"	"Commodity grade"	"The grade of the commodity in the ore specified in the parent table PROD, MINED field.  Expressed as weight percent for most commodities, grams per metric ton for gold, silver, and platinum group metals."	""	""	"int"	"N"	8		""
306	333	26	"production_detail"	14	"GRD_UNITS"	"Production and resources"	"Grade units"	"The units for the grade of the commodity.  Weight percent for most commodities, grams per metric ton for gold, silver, and platinum group metals."	""	""	"varchar"	"C"	10		""
307	334	26	"production_detail"	15	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
308	335	26	"production_detail"	16	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
309	336	26	"production_detail"	17	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
310	337	26	"production_detail"	18	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
311	363	29	"resources"	2	"YR"	"Production and resources"	"Year"	"Four digit year for which the resources estimate applies, or the year the estimate was published.  It is part of the key that uniquely identifies each resource entry."	""	""	"varchar"	"C"	4		""
312	339	27	"reference"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
313	340	27	"reference"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
314	341	27	"reference"	3	"CTG"	"Bibliographic references"	"Category"	"Specifies the subject category of the reference."	""	""	"varchar"	"C"	30		""
315	342	27	"reference"	4	"REFS"	"Bibliographic references"	"Bibliographic reference"	"Text of the bibliographic reference"	""	""	"varchar"	"C"	1000		""
316	343	27	"reference"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
317	344	27	"reference"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
318	345	27	"reference"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
319	346	27	"reference"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
320	347	27	"reference"	9	"PAGES"	"Bibliographic references"	"Pages"	"Specific pages within the reference that pertain to the site"	""	""	"varchar"	"C"	40		""
321	348	27	"reference"	10	"REF_URL"	"Bibliographic references"	"Online linkage"	"Online linkage (URL) for the bibliographic reference"	""	""	"varchar"	"C"	255		""
322	350	28	"reporter"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
323	351	28	"reporter"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
324	352	28	"reporter"	3	"REPORTER"	"Metadata"	"Reporter name"	"Name of the reporter or editor"	""	""	"varchar"	"C"	100		""
325	353	28	"reporter"	4	"RPR_TP"	"Metadata"	"Reporter type"	"Editor, updater, researcher"	""	""	"varchar"	"C"	1		""
326	354	28	"reporter"	5	"RPT_DATE"	"Metadata"	"Report date"	"Date of the report or update"	""	""	"varchar"	"C"	11		""
327	355	28	"reporter"	6	"AFFIL"	"Metadata"	"Reporter affiliation"	"Organization to which the reporter belonged when reporting."	""	""	"varchar"	"C"	100		""
328	356	28	"reporter"	7	"RPR_COMMENT"	"Metadata"	"Reporter comment"	"Comments added by or about the reporter concerning the changes"	""	""	"varchar"	"C"	255		""
329	357	28	"reporter"	8	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
330	358	28	"reporter"	9	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
331	359	28	"reporter"	10	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
332	360	28	"reporter"	11	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
333	362	29	"resources"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
334	364	29	"resources"	3	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
335	365	29	"resources"	4	"RES_NM"	"Production and resources"	"Resource name"	"The reserve/resource proper name or type, such as ""North-Central Area - oxide ore"", or ""Middle Elsburg Reef""."	""	""	"varchar"	"C"	100		""
336	366	29	"resources"	5	"RES_TP"	"Production and resources"	"Resource type"	"Resource type from the following list: In-situ, Milling, Leaching, Combined milling and leaching, Tailings."	""	""	"varchar"	"C"	10		""
