i	dep_id	line	conc_proc	conc_proc_text	inserted_by	insert_date	updated_by	update_date
1432	"10011901"	1	""	"Oxidation Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1433	"10027097"	1	"Supergene Enrichment"	"Supergene Enrichment (Possibly Took Place Before Thrusting) And Oxidation, Leaching And Deposition During Present Erosion Cycle"	"MRDS migration"	"29-OCT-02"	"CLAANDER"	"14-JUL-09"
1434	"10094234"	1	""	"Along Breccia Pipes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1435	"10310008"	1	""	"Chemical precipitation"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
1436	"10011590"	1	""	"Oxidation Enrichment"	"MRDS migration"	"29-OCT-02"	""	""
1437	"10041918"	1	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1438	"10091850"	1	""	"Supergene Gold After Weathering Of Vein Sulfides (See District Summary)."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1439	"10095897"	1	""	"Contact Metasomatism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1440	"10048350"	1	""	"Secondary Enrichment Along Brecciated Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1441	"10087985"	1	""	"Replacement Of Limestone Leases, Precipitation In Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1442	"10088191"	1	""	"Supergene Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1443	"10038048"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-02"	""	""
1444	"60000077"	1	""	"EVIDENCIAS DE ENRIQUECIMIENTO SECUNDARIO"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1445	"10104069"	1	""	"Bornite Replaces Pyrite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1446	"10027298"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1447	"10003825"	1	""	"Supergene Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1448	"10048041"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-02"	""	""
1449	"10022042"	1	""	"Secondary Water"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1450	"10037157"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1451	"10071610"	1	""	"Hypogene"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1452	"10109540"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-02"	""	""
1453	"10027177"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1454	"10043997"	1	""	"Ore Near Surface Was Oxidized, Gold-Enriched"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1455	"10022103"	1	""	"Secondary Water"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1456	"10079754"	1	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1457	"10018137"	1	""	"Placer Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1458	"10021196"	1	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1459	"10080235"	1	""	"Manganese:  Weathering Residual."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1460	"10045136"	1	""	"Hydrothermal Fluids"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1461	"10044787"	1	""	"Oxidation Of Sulfides Above Water Table"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1462	"10009826"	1	""	"Oxidation Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1463	"60001586"	1	""	"HYDROTHERMAL MINERALIZATION WITH MULTIPLE REOPENING"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1464	"10094360"	1	""	"Igneous-Metamorphic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1465	"10082604"	1	""	"Secondary enrichment by hydrothermal fluids"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
1466	"10089332"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1467	"10089334"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1468	"10072988"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1469	"10040893"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1470	"60001597"	1	"WEATHERING"	"EVIDENCE OF SECONDARY ENRICHMENT"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1471	"10310306"	1	""	"weathering (oxidation)"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1472	"10106923"	1	""	"Weathering (Oxidation)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1473	"10003909"	1	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1474	"10048271"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1475	"10039402"	1	""	"Permiable Fracture Zones."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1476	"10042155"	1	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1477	"10070672"	1	""	"Metasomatic Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1478	"10027892"	1	""	"Oxidation And Enrichment At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1479	"10071395"	1	""	"Diamonds Believed To Be Primary Constituent Of The Kimberlite, Possibly Formed As The Result Of High Temperatures And Pressures Prevailing In The Magma During Eruption Phase."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1480	"10096209"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1481	"60000399"	1	"WEATHERING"	"SUPERGENE ENRICHMENT"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1482	"10080126"	1	""	"Magmatic Differentiation/Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1483	"10040972"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1484	"10087665"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1485	"10097826"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1486	"10082522"	1	""	"Hydrothermal And Meteoritic Water Leaching Of Mt Athos Marble, Calcareous Quartzite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1487	"10040926"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1488	"10043901"	1	""	"Some Oxidation & Secondary Enrich. In Shallow Levels"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1489	"10011077"	1	""	"Alluvial Fan"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1490	"10046705"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1491	"10067564"	1	""	"High Temperature Fluid Replacement."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1492	"10069752"	1	""	"Secondary Chalcocite Films Coating Pyrite And Chalcopyrite,"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1493	"10101642"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1494	"10085482"	1	""	"Secondary Chalcocite Deposition"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1495	"10037166"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1496	"10014700"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1497	"10109533"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1498	"10011756"	1	""	"Gravity Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1499	"10045103"	1	""	"Cha"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1500	"10003841"	1	""	"Supergene Alteration (Lateritization)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1501	"10048288"	1	""	"Supergene Enrichment Along Well-Defined Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1502	"10055420"	1	""	"Meteoric Water Percolating Through The Overlying Mildly Radioactive Tuffaceous Arikaree Formation Brought Uranium And Other Ions To The Chadron Formation."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1503	"10048034"	1	""	"Winnowing By Waves"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1504	"10021916"	1	""	"Chemical Precipitation; Evaporation; Secondary Water"	"MRDS migration"	"29-OCT-02"	""	""
1505	"10022633"	1	""	"Chemical Precipitation; Evaporation; Secondary Water"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1506	"10067656"	1	""	"Fissures Probably Filled By Shallow Solutions."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1507	"10010746"	1	""	"Ore Solutions Used Fissures As Feeder Channels To Migrate To Strata ""Favorable"" To Deposition"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1508	"10040762"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1509	"10101596"	1	""	"Fluvial Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1510	"10310599"	1	""	"Open-space filling, hydrothermal alteration"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1511	"10039389"	1	""	"Supergene Enrichment, Replacement."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1512	"10086933"	1	""	"Deposition Of Travertine From Thermal Waters"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1513	"10097398"	1	""	"Mainly Primary Hydrothermal Mineralization With Sporadic, Thin Secondary Enrichment Blanket.  Highest Grades Of Cu Associated With Phyllitic Overprints.  Little Supergene, No Gossan"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1514	"10068820"	1	""	"No Data Available"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1515	"10040863"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1516	"10043910"	1	""	"Hydrothermal Fluids In Open Space Fillings."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1517	"10042516"	1	""	"Replacement, Filling"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1518	"10011591"	1	""	"Oxidation Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1519	"10087679"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1520	"10015750"	1	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1521	"10087309"	1	""	"Hypogene Hydrothermal Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1522	"10043998"	1	""	"Near-Surface Oxide Ore; Supergene Chalcocite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1523	"10067208"	1	""	"Surficial Concentration (Residual)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1524	"10061221"	1	""	"Oxidation To About 3m"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1525	"10021921"	1	""	"Chemical Precipitation; Evaporation; Secondary Water"	"MRDS migration"	"29-OCT-02"	""	""
1526	"10037407"	1	""	"Devitrification Of Tuff"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1527	"10012547"	1	""	"Northern Part Of District Characterized By Low- To Intermediate-Temperature Hydrothermal Formation Of Quartz Veins With Relatively High Sulfide Content (Pb, Zn, Cu, Ag, And A Little Au) And Some Au-Ag Tellurides.  Southern Part Characterized By Low-Temperature Hydrothermal Formation Of Quartz-Rhodochrosite-Fluorite Veins With Minor Sulfide Content But High Ag. Secondary Enrichment Was Shallow And Important In Early Production. Oxidation Of Rhodochrosite Veins In Southern Area Resulted In Formation Of Mn Ores And Moderate Ag Enrichment."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1528	"10044790"	1	""	"Oxidation Of Sulfides"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1529	"10003812"	1	""	"Sedimentation, Metamorphosis, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1530	"10088770"	1	""	"Supergene"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1531	"10055379"	1	""	"Evaporation, Thermal Springs"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1532	"60001058"	1	""	"METASOMATIC WIDING AND REPLACEMENT ALONG THIN CRACKS."	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1533	"10040946"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1534	"10057324"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-02"	""	""
1535	"10055130"	1	""	"Fluvial"	"MRDS migration"	"29-OCT-02"	""	""
1536	"60001335"	1	""	"THE SINGENETIC COPPER CONTAINED IN THE APHANITIC ZONE WAS TRANSPORTED AND CONCENTRATED BY HYDROTHERMAL FLUIDS"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1537	"10095402"	1	""	"Deposit Could Be A Porphyry Or Exhalative Phase Of The Intrusion."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1538	"10089465"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1539	"60001606"	1	""	"VEINS ARE STRONGLY OXIDIZED AND LEACHED TO DEPTHS OF 7-10 M BELOW SURFACE, THE ORE CONSISTING OF COPPER CARBONATES, ATACAMITE, CHRYSOCOLLA, ANTLERITE, COPPER OXIDES AND NATIVE COPPER. FROM 10-40 M BELOW THE SURFACE, A ZONE OF SUPERGENE ENRICHMENT WITH CHALCOCITE, COVELLITE, AND BORNITE WAS FOUND. ORE AVERAGES 4-5% COPPER, 200-250 GRAMS SILVER AND 4-5 GRAMS GOLD PER TON. IN THE SAN PEDRO ZONE, WALL ROCK IS SLIGHTLY ALTERED TO CALCITE, EPIDOTE, AND CHLORITE."	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1540	"10080715"	1	""	"Minerals Were Probably Leached From The Once Overlying Black Devonian Shales."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1541	"10060907"	1	""	"Supergene Enrichment."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1542	"10079565"	1	""	"Sedimentation And Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1543	"10042119"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1544	"10040611"	1	""	"A Zone Of Acid Leaching Approximately 75 M Thick Overlies The Carlin Deposit."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1545	"10310467"	1	""	"A zone of acid leaching approximately 75 m thick overlies the Carlin deposit. \n"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1546	"10023186"	1	""	"7"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1547	"10078208"	1	""	"Evaporation And Precipitation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1548	"10019344"	1	""	"Gravity Conc."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1549	"10079890"	1	""	"Leaching Of Limestone Containing Manganese   And Manganese Precipitation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1550	"10008038"	1	""	"Hidrotermal (Soluciones)"	"MRDS migration"	"29-OCT-02"	""	""
1551	"10066875"	1	""	"Supergene Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1552	"10025095"	1	""	"Residual Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1553	"10019102"	1	""	"Gravity Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1554	"10100224"	1	""	"Heavy Minerals Concentration By Wind Actions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1555	"60001598"	1	"WEATHERING"	"ZONES OF OXIDATION AND SECONDARY SULFIDE ENRICHMENT IN CAPILLITAS MINE"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1556	"10310509"	1	""	"HYDROTHERMAL"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1557	"10078562"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1558	"10068801"	1	""	"Hypothermal To Mesothermal Fissure Filling"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1559	"10005692"	1	""	"Hidrotermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1560	"10079726"	1	""	"Hydrothermal (Replacement)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1561	"60000398"	1	"EVAPORATION"	"EVAPORATION OF SEAWATER"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1562	"10041786"	1	""	"Hydrothermal/Contact Metasomatism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1563	"10021182"	1	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1564	"10047485"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1565	"10027698"	1	""	"The Low Grade Mineralization Within The Bedding Is Enriched By Supergene Psilomelane And Manganite In Minor Faults And Fractures, With A General Se Trend Parallel To The Major Faulting Of The Area."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1566	"60000089"	1	"WEATHERING"	"OXIDACION SUPERGENICA"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1567	"60001599"	1	"WEATHERING"	"ZONES OF OXIDATION AND SECONDARY SULFIDE ENRICHMENT LITTLE DEVELOPED"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1568	"10012845"	1	""	"Wind Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1569	"10045138"	1	""	"Hydrothermal Fluids"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1570	"10102429"	1	""	"The Gold Derived From Erosion Of Gold-Bearing Veins In The Vicinity"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1571	"10310700"	1	""	"Open-space filling"	"Surveys and Analysis Project"	"20-FEB-2008 00:00:00"	"Schruben, Paul"	"20-FEB-2008 00:00:00"
1572	"10087684"	1	""	"Hydrothermal/Contact Metasomatism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1573	"10037604"	1	""	"Primary Sulfides Deposited In Association With Silicate Zone Oxidized To Heavy Limonite Gossan.  Rich Deposits Of Cu Carbonates Assoc. With Gossan Are Small.  Possible That Cu Derived From Sulfide Was Deposited As A Carbonate Before Being Recirculated By Meteoric Waters"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1574	"10087920"	1	""	"Enrichment Or Concentration Of Na And K And Leaching Of Mg And Ca Within Syock By Structurally Controlled Circulation Of Acidic Solutions And Sulfurous Gaseous Emanations In Near-Surface, Late-Stage Volcanic Activity."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1575	"10089333"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1576	"10089206"	1	""	"Primary Ore Minerals Precipitated In A Reducing Environment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1577	"10072990"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1578	"10072987"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1579	"10080710"	1	""	"Minerals Probably Leached From Overlying Black Devonian Shales."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1580	"10048641"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1581	"10037195"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1582	"10082706"	1	""	"Metamorphism of Vulcan iron formation has locally increased grain size and made some material more amenable to concentration than less metamorphosed iron formation."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
1583	"10079064"	1	""	"Migration Along Fault Zone, Surface Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1584	"10008036"	1	""	"Hidrotermal."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1585	"10071841"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1586	"10072147"	1	""	"High Temp. Hypogene Ores Associated With Granitic Intrusion.  Later Highly Oxidizedand Enriched"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1587	"10067379"	1	""	"Sedimentation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1588	"10033270"	1	""	"Winnowing By Waves"	"MRDS migration"	"29-OCT-02"	""	""
1589	"10057262"	1	""	"Oxidation To 100 Ft"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1590	"10310701"	1	""	"Open-space filling"	"Surveys and Analysis Project"	"20-FEB-2008 00:00:00"	"Schruben, Paul"	"20-FEB-2008 00:00:00"
1591	"10068879"	1	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1592	"10023290"	1	""	"Metamorphism"	"MRDS migration"	"29-OCT-02"	""	""
1593	"10067558"	1	""	"May Have Been Either Result Of Intrusive Diabase Or Sedimentation Processes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1594	"10067559"	1	""	"Mineralized Solutions From Igneous Activity Probably Ascended Updip Along Bedding Planes Or Along Joints And Fractures Until Encountering Organic-Rich Rock. Subsequent Supergene Alteration Has Produced Copper Carbonates."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1595	"10082674"	1	""	"Metamorphism of Vulcan iron formation has locally increased grain size and made some material more amenable to concentration than less metamorphosed iron formation."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
1596	"10086904"	1	""	"Enriquecimiento Secundario"	"MRDS migration"	"29-OCT-02"	""	""
1597	"10005703"	1	""	"Secundario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1598	"10097828"	1	""	"Clastic Sedimentation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1599	"10023091"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1600	"10310601"	1	""	"Mechanical accumulation"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1601	"10048055"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1602	"10089621"	1	""	"Precipitation In A Reducing Environment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1603	"10086662"	1	""	"Winnowing By Waves"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1604	"10037137"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1605	"10067669"	1	""	"From Volcanic Exhalations (?)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1606	"10264682"	2	"RESIDUAL"	""	"DCAUSEY"	"15-NOV-10"	""	""
1607	"10037801"	1	""	"Oxidation With Auriferous Sulfides Locally Preserved In Bedded Jasperoids And In Quartz. Sulfide Stockwork Veins In Phyllic Altered Zones."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1608	"10048485"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-02"	""	""
1609	"10043911"	1	""	"Hydrothermal Fluids In Open Space Fillings."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1610	"10068807"	1	""	"Hypothermal To Epithermal Fracture-Filling Mineralization In Vicinity Of Volcanic Neck"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1611	"10010980"	1	""	"Lake Terrace"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1612	"60001006"	1	"MAGMATIC SEGREGATION"	"MAGMATIC SEGREGATION"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1613	"10011366"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1614	"10310452"	1	""	"hydrothermal fluids in open space fillings and replacement"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1615	"10055363"	1	""	"Evaporation, Deep Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1616	"10079698"	1	""	"Primary Hydrothermal, Large Oxide Ore Body Consisting Mainly Of Antlerite But With Many Other Oxides."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1617	"10101716"	1	""	"Complex Process Of Concentration Involving Permeability, Reducing Environment, Carbonaceous Matter And Dilute Mineralized Solutions."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1618	"10010655"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1619	"10089525"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1620	"10094913"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1621	"10012686"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1622	"60001632"	1	"WEATHERING"	"SOME OXIDATION AND LEACHING"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1623	"10088381"	1	""	"Regional Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1624	"10081332"	1	""	"Weathering, Erosion, Stream Deposition"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1625	"10079487"	1	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1626	"10042167"	1	""	"Iron Staining"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1627	"10025289"	1	""	"Vein Gold, If Indigenous To Property, Is Supergene From Weathering Of Vein Sulfides"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1628	"10014244"	1	""	"Ore Deposition Within Permeable Sandstone May Have Resulted By Precipitation From Actively Circulating Ground Waters Below Slightly Uneven Water Table Or At Interface Between Two Types Of Ground Water. Metals May Have Been Derived From Trace Amounts In Solution In Pore Water During Sand Deposition Or From Trace Amounts Dissolved From Rocks During Diagenesis."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1629	"10041549"	1	""	"Hydrothermal Solution"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1630	"10090161"	1	""	"Evaporation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1631	"10091878"	1	""	"Residual Accumulation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1632	"10079727"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1633	"10088069"	1	""	"Oxidiation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
