i	dep_id	line	tect_set	tect_set_text	inserted_by	insert_date	updated_by	update_date
489	"10080023"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
490	"10106129"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
491	"10048488"	1	""	"Accreted Terrane"	"MRDS migration"	"29-OCT-02"	""	""
492	"10016547"	1	""	"Central Cordillera (Southern Rocky Mtns.)"	"MRDS migration"	"29-OCT-02"	""	""
493	"10065565"	1	""	"Andes"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
494	"10002363"	1	""	"Chugach Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
495	"10079568"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
496	"10003975"	1	""	"Existe Un Anticlinal En Las Rocas Volcanicas, Cuyo Eje Tiene Rumbo Nw-Se, Por Lo Cual Los Derrames Ocupan Posiciones Diversas."	"MRDS migration"	"29-OCT-02"	""	""
497	"10005397"	1	""	"Puna"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
498	"10047915"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-02"	""	""
499	"10095972"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
500	"10061439"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
501	"10013837"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-02"	""	""
502	"10105178"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
503	"10087963"	1	""	"Chaco Slope"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
504	"10101682"	1	""	"Southern Black Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
505	"10040682"	1	""	"Klamath Mountains"	"MRDS migration"	"29-OCT-02"	""	""
506	"10012882"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
507	"10105799"	1	""	"Back Reef Facies Far Removed From Barrier Reef Environment"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
508	"10088066"	1	""	"Basin & Range - Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
509	"10036755"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
510	"10094192"	1	""	"Intrusivo Dioritico-Granodioritico De Aprox. 4 Km2."	"MRDS migration"	"29-OCT-02"	""	""
511	"10015452"	1	""	"Basin & Range Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
512	"10026951"	1	""	"Block Faulting Nw Of Copper King Massif With Downthrow Of About 1000 Ft"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
513	"10088228"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
514	"10070483"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
515	"10088568"	1	""	"El Area Se Encuentra Intruida Por El Batolito De La Costa"	"MRDS migration"	"29-OCT-02"	""	""
516	"10061325"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
517	"10061349"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
518	"10005243"	1	""	"Magmatic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
519	"10014077"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
520	"10048618"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
521	"10087895"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
522	"10067011"	1	""	"Greenstone Belt"	"MRDS migration"	"29-OCT-02"	""	""
523	"10002296"	1	""	"Aleutian Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
524	"10094729"	1	""	"Basin & Range Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
525	"10011201"	1	""	"Basin And Range-Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
526	"10094554"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-02"	""	""
527	"10060570"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
528	"10020878"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
529	"10100213"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
530	"10080096"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
531	"10082669"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
532	"10012075"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
533	"10082634"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
534	"10068750"	1	""	"Andean Cordillera"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
535	"10032528"	1	""	"Accreted Oceanic Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
536	"10041743"	1	""	"Crawford Mts"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
537	"10004443"	1	""	"Puna"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
538	"10105104"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-02"	""	""
539	"10047959"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-02"	""	""
540	"10104272"	1	""	"The Conconully Pluton Is A Directionless, Post-Tectonic Plutonic Rock That Was Intruded Into A Major Structural Zone (Stoffel, K.L., Dger, 1990, Oral Comm.)."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
541	"10022017"	1	""	"Interior Basin; Deltaic Red Bed Margin"	"MRDS migration"	"29-OCT-02"	""	""
542	"10310082"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-04"	""	""
543	"10010257"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
544	"10072532"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
545	"10011022"	1	""	"Basin And Range-Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
546	"10060370"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
547	"10082839"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-04"	""	""
548	"10026786"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
549	"10005735"	1	""	"Cordillera Occidental"	"MRDS migration"	"29-OCT-02"	""	""
550	"10092680"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-02"	""	""
551	"10061285"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
552	"10080192"	1	""	"Smith River Allocthon"	"MRDS migration"	"29-OCT-02"	""	""
553	"10038993"	1	""	"Pre - Mineralization Isoclinal Folding"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
554	"10311044"	1	"South Park sedimentry basin"	""	"Surveys and Analysis Project"	"01-NOV-2007 00:00:00"	"Schruben, Paul"	"01-NOV-2007 00:00:00"
555	"10009030"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
556	"10093023"	1	""	"The Newby Group Was Deposited In An Active Continental Margin Setting, Or Near An Island Arc."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
557	"10047928"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
558	"10101784"	1	""	"Central Cordillera (Southern Rocky Mtns.)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
559	"10055968"	1	""	"This Epizonal Pluton Is Part Of The Keller Butte Suite. Intrusion Of The Granodiorite Was Contemporaneous With Deformation Associated With The Metamorphic Core Complexes (Holder And Holder, 1988)."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
560	"10013681"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
561	"10002431"	1	""	"Taku Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
562	"10065743"	1	""	"Andean Cordillera"	"MRDS migration"	"29-OCT-02"	""	""
563	"10002329"	1	""	"Wrangellia Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
564	"10013954"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
565	"10087493"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
566	"10086248"	1	""	"Stable Sedimentary Platform Having Later Mild Regional Deformation Sufficient To Produce Major And Minor Folds, Faults, Fracture Zones, And Joints."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
567	"10088698"	1	""	"Wasatch Front"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
568	"10012098"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
569	"10011781"	1	""	"Margin, Gulf Of Aden Spreading Center"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
570	"10061312"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-02"	""	""
571	"10068945"	1	""	"Cordillera Occidental Of Southern Peru"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
572	"10109541"	1	""	"Rocky Mountains"	"MRDS migration"	"29-OCT-02"	""	""
573	"10005784"	1	""	"Batolito De La Costa"	"MRDS migration"	"29-OCT-02"	""	""
574	"10004363"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
575	"10078366"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
576	"10020884"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
577	"10017202"	1	"Front Range, Colorado mineral belt"	""	"Surveys and Analysis Project"	"01-NOV-07"	"Schruben, Paul"	"01-NOV-07"
578	"10005299"	1	""	"Puna"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
579	"10048830"	1	""	"Back-Arc Marginal Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
580	"10310385"	2	"Continental Arc"	""	"CLAANDER"	"01-FEB-10"	""	""
581	"10310385"	1	""	"back-arc marginal basin"	"Surveys and Analysis Project"	"01-SEP-07"	"Schruben, Paul"	"01-SEP-07"
582	"10013026"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-02"	""	""
583	"10039547"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
584	"10079900"	1	""	"Valley And Ridge"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
585	"10013270"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-02"	""	""
586	"10087031"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
587	"10038141"	1	""	"In Rocky Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
588	"10055967"	1	""	"The Newby Group Was Deposited In An Active Margin Setting, Along Or Near An Island Arc."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
589	"10011973"	1	""	"Southern Black Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
590	"10038030"	1	""	"Klamath Mountains Accreted Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
591	"10082652"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
592	"10047958"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
593	"10055920"	1	""	"The Snoqualmie Batholith Is Part Of Early Magmatism Of The Cascade Magmatic Arc."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
594	"10101680"	1	""	"Southern Black Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
595	"10012133"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
596	"10014908"	1	""	"Basin And Range-Colorado Plateau Transition Zone, Cordilleran Hinge Line"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
597	"10042249"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
598	"10060564"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
599	"10063951"	1	""	"Magmatic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
600	"10087463"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
601	"10068132"	1	""	"Shield With Alkaline Pipe Intruding, Sao Francisco Craton"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
602	"10060568"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
603	"10024730"	1	""	"Sao Francisco Craton"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
604	"10012096"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
605	"10082714"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
606	"10072669"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
607	"10094195"	1	""	"Batolito De La Costa"	"MRDS migration"	"29-OCT-02"	""	""
608	"10005778"	1	""	"Batolito De Naturaleza Tonalitica-Granodioritica."	"MRDS migration"	"29-OCT-02"	""	""
609	"10310585"	1	""	"Magmatic arc"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
610	"10036754"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
611	"10084817"	1	""	"Proterozoic Fold Belt Along East Margin Of Kimberley Block Craton"	"MRDS migration"	"29-OCT-02"	""	""
612	"10088186"	1	""	"Basin & Range-Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
613	"10111298"	1	""	"Complex Copper Mountain Fault System With Substantial Vertical Displacement; Fault Blocks Generally Downthrown To Ne"	"MRDS migration"	"29-OCT-02"	""	""
614	"10024087"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
615	"10072670"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
616	"10013170"	1	""	"Central Cordillera, (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
617	"10069181"	1	""	"Narrow Basin Deposit - Faulted"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
618	"10036810"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
619	"10080216"	1	""	"Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
620	"10012124"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
621	"10014213"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
622	"10068816"	1	""	"Andean Cordillera And Batholith"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
623	"10091634"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
624	"10015423"	1	""	"Basin And Range-Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
625	"10036803"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
626	"10086436"	1	""	"Nuqrah Precratonic Tectonic Province"	"MRDS migration"	"29-OCT-02"	""	""
627	"10015580"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
628	"10080375"	1	""	"Cordilleras Altas Orientales"	"MRDS migration"	"29-OCT-02"	""	""
629	"10088805"	1	""	"Basin And Range-Colorado Plateau Transition Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
630	"10045459"	1	""	"Small"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
631	"10026067"	1	""	"Folded Blue Ridge Province"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
632	"10015154"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
633	"10087206"	1	""	"Basin And Range-Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
634	"10038073"	1	""	"Rocky Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
635	"10013237"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
636	"10101794"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
637	"10082594"	1	""	"Midcontinent Rift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
638	"10065581"	1	""	"Andes"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
639	"10088561"	1	""	"Intenso Plegamiento (Complejo Del Maranon)"	"MRDS migration"	"29-OCT-02"	""	""
640	"10023066"	1	""	"Compresiva"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
641	"10095965"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
642	"10072973"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
643	"10101777"	1	""	"Central Cordillera (Southern Rocky Mtns.)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
644	"10095591"	1	""	"Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
645	"10038065"	1	""	"Base Of Sierra Nevada Foothills"	"MRDS migration"	"29-OCT-02"	""	""
646	"10101622"	1	""	"Cordillerain Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
647	"10107311"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
648	"10048357"	1	""	"Ux Ranch Fault Block"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
649	"10080676"	1	""	"Orogen"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
650	"10061240"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
651	"10015386"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
652	"10084228"	1	""	"Eastern Carolina Slate Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
653	"10105719"	1	""	"Cordilleran Miogeosyncline - Foreland"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
654	"10072530"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
655	"10011967"	1	""	"Southern Black Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
656	"10026624"	1	""	"Se Encuentra Intruyendo, El Batolito De Pataz"	"MRDS migration"	"29-OCT-02"	""	""
657	"10070102"	1	""	"Island Arc Volcanic Chain"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
658	"10072671"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
659	"10087983"	1	""	"Cerrillos Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
660	"10072531"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
661	"10080217"	1	""	"Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
662	"10068728"	1	""	"Andean Cordillera And Batholith"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
663	"10092794"	1	""	"Thick Volcanic Package"	"MRDS migration"	"29-OCT-02"	""	""
664	"10011991"	1	""	"Southern Black Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
665	"10107989"	1	""	"Central Cordillera (Southern Rocky Mts)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
666	"10100710"	1	"Basin And Range"	"Basin And Range"	"MRDS migration"	"29-OCT-02"	"DCAUSEY"	"07-JAN-11"
667	"10026403"	1	""	"Blue Ridge"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
668	"10055356"	1	""	"Internal Drainage Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
669	"10082653"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
670	"10015160"	1	""	"Uplifted Sedimentary Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
671	"10014027"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
672	"10013235"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
673	"10013878"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
674	"10097952"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
675	"10068751"	1	""	"Andean Cordillera"	"MRDS migration"	"29-OCT-02"	""	""
676	"10072675"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
677	"10005785"	1	""	"Batolito De La Costa"	"MRDS migration"	"29-OCT-02"	""	""
678	"10005783"	1	""	"Batolito De La Costa"	"MRDS migration"	"29-OCT-02"	""	""
679	"10063058"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
680	"10065744"	1	""	"Andean Cordillera"	"MRDS migration"	"29-OCT-02"	""	""
681	"10094181"	1	""	"Pampas Costaneras"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
682	"10020002"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
683	"10107377"	1	""	"Cordilleras Alta Orientales, Quimsa Cruz Batholith"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
684	"10104012"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
685	"10013234"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
686	"10087911"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
687	"10062157"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
688	"10039453"	1	""	"Basin And Range."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
689	"10110413"	1	""	"Narrow Basin Deposit - Faulted"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
690	"10036811"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
691	"10079389"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
692	"10067660"	1	""	"Eugeosyncline (Piedmont)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
693	"10072672"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
694	"10072673"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
695	"10062999"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
696	"10026464"	1	""	"Blue Ridge"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
697	"10088008"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
698	"10086437"	1	""	"Nuqrah Precratonic Tectonic Province"	"MRDS migration"	"29-OCT-02"	""	""
699	"10060408"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
700	"10088788"	1	""	"Uinta Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
701	"10013236"	1	""	"Central Cordillera (Southern Rocky Mtns); Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
702	"10023132"	1	""	"Intrusion Ignea"	"MRDS migration"	"29-OCT-02"	""	""
703	"10011326"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
704	"10048297"	1	""	"Ash Peak; Transition Between Basin And Range And Colorado Plateau Provinces"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
705	"10079480"	1	""	"Coosa Block"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
706	"10013678"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-02"	""	""
707	"10013076"	1	""	"Central Cordillera (Southern Rocky Mtns.)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
708	"10014817"	1	""	"Sangre De Cristo Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
709	"10015147"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
710	"10047867"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-02"	""	""
711	"10072674"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
712	"10080425"	1	""	"Back-Arc Extensional Cratonic Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
713	"10014117"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
714	"10080771"	1	""	"Laramie Range, Rocky Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
715	"10061496"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
716	"10056761"	1	""	"Greenstone Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
717	"10063184"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
718	"10106039"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
719	"10061431"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
720	"10060439"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
721	"10061183"	1	""	"Gulf Salt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
722	"10061248"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
723	"10098003"	1	""	"Cordillerean Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
724	"10004389"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
725	"10015545"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
726	"10088252"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
