i	dep_id	line	ore_ctrl	ore_ctrl_text	inserted_by	insert_date	updated_by	update_date
3473	"10003970"	1	""	"Fracturas"	"MRDS migration"	"29-OCT-02"	""	""
3474	"10068456"	1	""	"Probably Related To Long-Standing, Slightly Elevated Water Table."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3475	"60001834"	1	"Fault/fracture"	"FAULTS, FRACTURES, AND SHEAR ZONES"	"MRDS migration"	"30-SEP-07"	""	""
3476	"10090400"	1	""	"Porous Volcanic Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3477	"10005892"	1	""	"Faults, Fractures, Breccia Bodies"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3478	"10104459"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3479	"10023116"	1	""	"Estructural Falla Normal De Rb N 40-55 (Parte Occidental) Y N 70-85 E (Parte Oriental)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3480	"10067281"	1	""	"Originally Warm Brine, Fracture Controlled; Multicy, Finally Residually Concretion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3481	"10069407"	1	""	"Fractures And Faults Trending N 45 -60 Deg E. And N 30 - 85 Deg W. Favorable Beds Are Listed Under Host Rocks"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3482	"10080983"	1	""	"?"	"MRDS migration"	"29-OCT-02"	""	""
3483	"10010911"	1	""	"Contact Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3484	"10048288"	1	""	"Ne Trending Fissures In Sedimentary Sequences; Contact Metamorphic Replacements  Along The Margin Of Porphyry Intrusions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3485	"10049761"	1	""	"Veins"	"MRDS migration"	"29-OCT-02"	""	""
3486	"10054945"	1	""	"Rellenos De Fractura"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3487	"10092995"	1	""	"Perched Water Table; Differences In Permeability And Porosity Affecting Ground Water Migration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3488	"10088395"	1	""	"Lake Bar"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3489	"10013585"	1	""	"Brecciated Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3490	"10021916"	1	""	"Stratabound, Reducing Environment, ? Sabkha Process"	"MRDS migration"	"29-OCT-02"	""	""
3491	"10011260"	1	""	"Lake Terrace"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3492	"10067656"	1	""	"Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3493	"10078211"	1	""	"Pedimentation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3494	"10022013"	1	""	"Reducing Environment, Stratigraphic"	"MRDS migration"	"29-OCT-02"	""	""
3495	"10110238"	1	""	"Limestone Beds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3496	"10011220"	1	""	"River Terrace And Alluvial Fan"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3497	"10102097"	1	""	"Northerly And Easterly Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3498	"10082863"	1	""	"Conglomerate bed between amygdaloid basalt flows."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
3499	"10014879"	1	""	"East Striking, Fissure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3500	"10021204"	1	""	"Igneous-Sedimentary Contact, Intersections Of Fractures, Favorable Limestone Beds."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3501	"10102388"	1	""	"Estructural"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3502	"10106069"	1	""	"Paleochannel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3503	"10078262"	1	""	"Along Contact Of Roan Gneiss Remnant And Younger Whiteside Granite"	"woodruff"	"20-OCT-2003 11:40:19"	""	""
3504	"10079087"	1	""	"Along Fracture In Micaceous Slate"	"woodruff"	"20-OCT-2003 11:40:19"	""	""
3505	"10080710"	1	""	"Fractures In The Sandstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3506	"10109777"	1	""	"Near Limestone-Andesite Contact-In Both Rock Types"	"MRDS migration"	"29-OCT-02"	""	""
3507	"10105917"	1	""	"Carbonaceous Material, Paleo Channels"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3508	"10047836"	1	""	"Emplacement Of Stock Controlled By Mccoy Creek Fault"	"MRDS migration"	"29-OCT-02"	""	""
3509	"60000978"	1	"Fault/fracture"	"ORE IS STRATIGRAPHICALLY CONTROLLED  AND BY NE TRENDING FISSURES"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3510	"10067328"	1	""	"Probably Mass Weathering Of Iron Rich Dolomite Beds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3511	"60000077"	1	""	"MINERALIZACION DISEMINADA DE CU EN PORFIROS DACITICOS Y ANDESITICOS. ALTERACION DE ROCAS JURASICAS"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3512	"10086936"	1	""	"Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3513	"10034266"	1	""	"Fractures, Narrow Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3514	"10045671"	1	""	"Intrusive Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3515	"60000002"	1	"Fault/fracture"	"ORE SHOOTS WITHIN FAULT PLANES"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3516	"10039520"	1	""	"Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3517	"10078154"	1	""	"Mineralization Associated With White Altered Dike"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3518	"10027089"	1	""	"Contact Zone, Fracturing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3519	"10058508"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3520	"10021156"	1	""	"Fissure Filling"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3521	"10055007"	1	""	"Estructural: La Mineralizacion Se Encuentra Rellenando Fisuras"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3522	"10006306"	1	""	"N-S Anticline, Inverse Faults; May Be Distal Mineralization Related To The Esmoraca Dacite Intrusive 20 Km To South."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3523	"10100723"	1	""	"Fracturas Y Sedimentacion"	"MRDS migration"	"29-OCT-02"	""	""
3524	"10073400"	2	"Contact"	""	"WBFERGUS"	"22-DEC-2008 04:47:01"	""	""
3525	"10073400"	1	"Fracture"	""	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"22-DEC-2008 04:46:37"
3526	"10095617"	1	""	"Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3527	"10043996"	1	""	"Favorable Lithology"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3528	"10065160"	1	""	"Vermiculite In Veins In Serpentinite/Soapstone Associated With Pegmatite Dikes."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3529	"10040535"	1	""	"Diabase Dike; Brecciated Zone."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3530	"10093540"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3531	"10111458"	1	""	"Bedding And Intersection Of Bedding With Nw Striking Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3532	"10068100"	1	""	"Pegmatite Dike"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3533	"10027028"	1	""	"Contact Between Diabase And Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3534	"10310467"	1	""	"High angle normal faults and their intersections apparently were channel ways for hydrothermal solutions. Most of the known orebodies occur in the upper 250 m of the Roberts Mountains Formation, principally within a unit consisting of interbedded dark gray, medium bedded, bioclastic limestone and thinly laminated, silty dolomitic limestone.  A small amount of ore at the east end of the east orebody occurs in calcareous shale of the upper plate.  High grades of gold probably are linked to increased permeability due to decarbonatization.The Roberts Mountains Thrust does not appear to localize ore either at the Carlin deposit or elsewhere in the district."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
3535	"10102393"	1	""	"Associated With Fault Zone, Ne Trending"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3536	"10023064"	1	""	"Estructurales, Principalmente Fallas"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3537	"10092598"	1	""	"Vein Follows Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3538	"10072960"	1	""	"Restricted Drainage Flow In A Basin Area"	"Woodruff, Laurel G."	"16-OCT-2006 12:57:55"	""	""
3539	"10098778"	1	""	"Lithology"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3540	"10104939"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3541	"10058063"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3542	"10004155"	1	""	"Estructural"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3543	"10089152"	1	""	"Fault Or Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3544	"10094198"	1	""	"Fracturas Con Rumbo N 15-55 E."	"MRDS migration"	"29-OCT-02"	""	""
3545	"10004017"	1	""	"Relleno De Fracturas"	"MRDS migration"	"29-OCT-02"	""	""
3546	"10054923"	1	""	"Litologico: La Mineralizacion Se Encuentra Albergada En Las Calizas."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3547	"10068950"	1	""	"The Chabuca Ore Deposits Are Irregular Steep-Dipping En Echelon Veins In Volcanic Rocks. The Veins Contain Mainly Coarse-Grained Argentiferous Galena With Some Cerrusite And Iron Oxide. Ore Assays 7% Pb And 60 Grams Of Silver Per Ton."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3548	"10025568"	1	""	"Fracture (According To Brokaw)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3549	"10027122"	1	""	"Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3550	"10005708"	1	""	"Estructural Y Mineralogico"	"MRDS migration"	"29-OCT-02"	""	""
3551	"10002660"	1	""	"See Deposit Description Comments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3552	"10043730"	1	""	"Fractures In Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3553	"10063911"	1	""	"Fracturing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3554	"10089739"	1	""	"Drainage"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3555	"10027797"	1	""	"Vein Follows Minette Dike"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3556	"10044698"	1	""	"Fault Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3557	"10082722"	1	""	"Hard ore overlies or abuts against intrusive greenstone at champion."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
3558	"10014408"	1	""	"Folded Metamorphosed Chert Layer"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3559	"10027130"	1	""	"Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3560	"10027593"	1	""	"Faulting, Shearing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3561	"10068879"	1	""	"See Comments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3562	"10025030"	1	""	"Chimenea De Breca"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3563	"10067559"	1	""	"Bedding Planes, Joints, Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3564	"10099471"	1	""	"Faults Plus Mantos Cut By Faults."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3565	"10079198"	1	""	"Near Contact Of Granite Unit And Diorite - Gabbro Unit; Possibly Roof Pendant Of Schists In Granite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3566	"10071608"	1	"Faulting"	"Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"13-DEC-2008 12:52:02"
3567	"10104276"	1	""	"According To Moen (1973), The Deposit Is In Brecciated And Silicified Black Argillite That Has Been Intruded By A North-Trending Aplite Porphyry Dike, Which Appears To Be Several Hundred Feet Wide. Parts Of The Dike Contain Pods Of Galena And Pyrite That Are Accompanied By Minor Chalcopyrite And Sphalerite (Moen, 1973, P. 37). Rinehart And Fox (1976) Indicate The Deposit Is In A Tertiary Crystal Tuff Intruded By A Tertiary Dike."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3568	"10310599"	1	""	"Ore shoots within mesothermal gold-bearing quartz veins, and as disseminated auriferous sulfides in greenstone\n\n"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
3569	"60001735"	1	""	"COLLAPSE BRECCIA STRUCTURES"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3570	"10039389"	1	""	"Faults Intersecting Beds Favorable For Replacement, Fissures."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3571	"10049649"	1	""	"Veins"	"MRDS migration"	"29-OCT-02"	""	""
3572	"10049585"	1	""	"Vein?"	"MRDS migration"	"29-OCT-02"	""	""
3573	"10094120"	1	""	"Estructural"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3574	"10005579"	1	""	"Evaporitic Basins - Playa Lakes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3575	"10005903"	1	""	"Faults, Preferred Beds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3576	"10049065"	1	""	"Best Ore Found In More Flatly Dipping Parts Of Vein."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3577	"10055026"	1	""	"Control Estructural: La Mineralizacion Esta Emplazada En Las Fracturas"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3578	"10096991"	1	""	"Litologico"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3579	"60001048"	1	"Lithology"	"LITHOLOGICAL?"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3580	"10004200"	1	""	"Estructural"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3581	"10056768"	1	""	"Stream"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3582	"10310430"	1	""	"Ore exhibits strong structural control and genetic relation to a suite of calc-alkalic intrusions."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
3583	"10021192"	1	""	"Northwest-Striking Fault Nearly Parallel To The Northwest Strike Of The Limestone Bedding."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3584	"10032121"	1	""	"Near Serpentine"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3585	"10021254"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3586	"10079424"	1	""	"Stratigraphically controlled."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
3587	"60001074"	1	"Fault/fracture"	"COMPLEX FRACTURES IN THE TOP OF THE LATITE FORM SIX MAJOR LODES.  THE FRACTURING WAS CONTEMPORANEOUS WITH TECTONIC DOMING AND ALLOWED MORE INTENSE ALTERATION.  THE INDIVIDUAL FRACTURES OF EACH LODE ARE 1 MM - 2 CM THICK AND ARE SO DENSE IN THE UPPER PART OF THE ORE ZONE AS TO BE A STOCKWORK."	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3588	"60001305"	1	"Fault/fracture"	"PARALLEL FAULTS"	"MRDS migration"	"30-SEP-07"	""	""
3589	"10094200"	1	""	"Fracturas Con Rumbo N 10 E"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3590	"10108957"	1	""	"Gold And Silver Enriched Along Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3591	"10068801"	1	""	"There Are Three Fissure Systems: Primary N 45 To 60 E And Dip 70 To 80 Nw; Secondary Set Nw-Se With Dip 70-90 Sw; Te-Rtiary Set N 30 To 40 W With Dip 70 To 85 Ne."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3592	"10033111"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3593	"10072416"	1	""	"Faults (Steep)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3594	"10101443"	1	""	"Contact Zone Of Dike And Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3595	"10054909"	1	""	"Litologico: La Mineralizacion Se Emplaza En Las Pizarras."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3596	"10099325"	1	""	"Relleno De Fractura"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3597	"10104514"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3598	"10058951"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3599	"10008066"	1	""	"Minerologico (En Cuarzo Lechoso)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3600	"10068365"	1	""	"Scheelite In Quartz Filling Fault Breccia"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3601	"10080359"	1	""	"Fractures And Shear Zones"	"MRDS migration"	"29-OCT-02"	""	""
3602	"10026895"	1	""	"Largely Oxidized Argentiferous Galena Along A Strong Fault Zone N30-35e, 75w, Intersected By Fissure With Ne Strike, 35se"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3603	"10069336"	1	""	"Seemingly Controlled By Vertical Fault In Limestone Near Horizontal Thrust Fault Zone Between Limestone And Schist"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3604	"10094249"	1	""	"Fault-Fracture Structural Control"	"MRDS migration"	"29-OCT-02"	""	""
3605	"10037029"	1	""	"Along A Shear Zone 3 To 10 Ft Wide."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3606	"10038046"	1	""	"Stream Hydraulics"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3607	"10090160"	1	""	"Great Salt Lake"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3608	"10015636"	1	""	"Great Salt Lake"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3609	"10090161"	1	""	"Great Salt Lake Volume"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3610	"10068729"	1	""	"Nnw-Trending Atacama Shear Fault Zone (150 Km Long) With Well-Defined Ne & Nw Converging Fracture Zones W & E Respectively Of Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3611	"60000388"	1	"Fault/fracture"	"FRACTURES AND ALTERED PORPHYRY IN AND ADJACENT TO CARSON INTRUSIVE CENTER"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
3612	"10027429"	1	""	"Ore Is Found In Clusters, Usually Associated With Carbonaceous Detritus"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3613	"10080182"	1	""	"Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3614	"10082656"	1	""	"Oxidation And Leaching Of Unaltered Banded-Iron Formation To Soft Iron-Oxide Ore Bodies."	"MRDS migration"	"29-OCT-02"	""	""
3615	"10011051"	1	""	"Fracturing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3616	"10006238"	1	""	"Andesite Dike"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3617	"10087868"	1	""	"Mineralization Localized In Favorable Host Rock."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3618	"10025586"	1	""	"Bedding, According To Brokaw"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3619	"10036707"	1	""	"Fracturing"	"MRDS migration"	"29-OCT-02"	""	""
3620	"10086877"	1	""	"Roca Triturada Y Alterada (Oxidada), Intruidas Por Juegos De Vetillas."	"MRDS migration"	"29-OCT-02"	""	""
3621	"10067387"	1	""	"Probably Mass Weathering Iron - Rich Limestone Beds And Schist Beds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3622	"10068845"	1	""	"Much Fracturing At Intersections Of Major Fault Systems; Boss Intrusion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3623	"10068952"	1	""	"See Comments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3624	"10105568"	1	"Shear Zone"	""	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"21-DEC-2008 07:54:38"
3625	"10046721"	1	""	"""Iron Dike"""	"MRDS migration"	"29-OCT-02"	""	""
3626	"10027520"	1	""	"Deposits Occur In Bottom Of Most Paleostream Channels, Usually With Carbonaceous Debris"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3627	"10037034"	1	""	"Fe-Mn Oxides, Pyrite, Quartz, Calcite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3628	"10310601"	1	""	"Mechanical accumulation on irregular bedrock riffles and within river- and stream-channel lag gravels, bars, and point-bar deposits."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
3629	"10011115"	1	""	"Fracturing, Faulting"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3630	"10067525"	1	""	"Permeable Sandstone Associated With Thick Intrusive Diabase Sill."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3631	"10078311"	1	""	"Bedding"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3632	"10026875"	1	""	"Ore Is Found In Clusters, Usually Associated With Carbonaceous Detritus"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3633	"10104420"	1	""	"Bedding"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3634	"10021921"	1	""	"Stratabound, Reducing Environment, ?Sabkha Process"	"MRDS migration"	"29-OCT-02"	""	""
3635	"10020016"	1	""	"Fissures Trending Within 5-10 Degrees Of North"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3636	"10070520"	1	""	"Intersecting Shear Zones Which Trend N 30 Deg W And N-S"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3637	"10027051"	1	""	"Occupies A Slightly Mineralized Fault Plane Of No Great Magnitude In The Gneiss"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3638	"10310600"	1	""	"Silver-lead ores formed as 1) massive low silica pipe-like replacement and fissure filling bodies formed in marble at the intersection of northerly and northwesterly fracture sets and 2) replacement of marble and infiling of fractures. by both low silica and high silica ore solutions.  Zinc ores deposited as supergene precipitates."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
3639	"10094193"	1	""	"Fallas Con Rumbo Principal Ne-Sw."	"MRDS migration"	"29-OCT-02"	""	""
3640	"10080319"	1	""	"Faults And Shear Zones"	"MRDS migration"	"29-OCT-02"	""	""
3641	"10009296"	1	""	"East-West Zone = Fault?"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3642	"10004110"	1	""	"Estratigrafico"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3643	"10106623"	1	""	"Extension Fractures Caused By Folding."	"MRDS migration"	"29-OCT-02"	""	""
3644	"10005837"	1	""	"N-S Trending Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3645	"10005990"	1	""	"Preferred Bed"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3646	"10100761"	1	""	"Localized Below Shale Bed.  No Strong Structural Control, Apparently.  A Small N40w Fault Dipping 55 Ne May Influence Location."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3647	"10086944"	1	""	"Cu Minerals Replace Organic Matter"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3648	"10005962"	1	""	"Porous Tuff"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3649	"10004186"	1	""	"Estructural, Fracturas"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3650	"10079616"	1	""	"Covered By Cretaceous And More Recent Calceous Deposits."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3651	"10090401"	1	""	"Preferred Beds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3652	"10012796"	1	""	"Bedding"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3653	"10071074"	1	""	"Fissuring & Brecciation Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3654	"10071032"	1	""	"Fracture - Fissure Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3655	"10012712"	1	""	"Sedimentary Basin"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3656	"10048153"	1	""	"Faulting, Shearing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3657	"10048148"	1	""	"Faulting, Shearing, Igneous Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3658	"10102064"	1	""	"Ne-Trending Fissure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3659	"10078319"	1	""	"Fault Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3660	"10014741"	1	""	"East-West-Trending Fault Cutting Megabreccia Within Lake City Caldera"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3661	"10045471"	1	""	"Limestone-Granite Contact And Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3662	"10020853"	1	""	"Intersection Of Alta Thrust With Cardiff And Other Fissures; Fissure In Quartzite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3663	"10106126"	1	""	"Stratigraphically controlled, fault related."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
3664	"10040293"	1	""	"Fault And Bedding Shear Junctures."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3665	"10104013"	1	""	"Fractures, Fault, Bedding Shears"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3666	"10086799"	1	""	"Fracturas"	"MRDS migration"	"29-OCT-02"	""	""
3667	"10111268"	1	""	"Vein Intersections"	"MRDS migration"	"29-OCT-02"	""	""
3668	"10078768"	1	""	"Paleostream Channels"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3669	"10067773"	1	""	"Igneous Intrusive"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3670	"10015883"	1	""	"Richest Ore Is Found In Streaks And Bands Of The Rhyolite That Are Silicified And Stained With Yellow Ocher."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3671	"10035717"	1	""	"Fault Fissure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3672	"10058884"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3673	"10080292"	1	""	"Fractures And Shear Zones"	"MRDS migration"	"29-OCT-02"	""	""
3674	"10006115"	1	""	"Fracturing Near Toropalca Fault (Miocene)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3675	"10096944"	1	""	"Litologico"	"MRDS migration"	"29-OCT-02"	""	""
3676	"10057642"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3677	"10005755"	1	""	"Formacion Capas Rojas"	"MRDS migration"	"29-OCT-02"	""	""
3678	"10020407"	1	""	"Along Fracture Zones Near A Concealed Intrusive"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
