i	dep_id	line	alt_type	alterat	alterat_text	inserted_by	insert_date	updated_by	update_date
1785	"10078995"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1786	"10082672"	1	"L"	""	"Leaching of silica or replacement by iron oxides or a combination of these processes."	"Woodruff, Laurel G."	"02-APR-04"	""	""
1787	"10096165"	1	"L"	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1788	"10087010"	1	"L"	""	"Bleached White (Kaolin)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1789	"10098663"	1	"L"	""	"Strong Hydrothermal Alteration"	"MRDS migration"	"29-OCT-02"	""	""
1790	"10073387"	1	"L"	"Chloritization"	""	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"22-DEC-2008 04:38:27"
1791	"10106573"	1	"L"	""	"Bleaching In Mudstone, Sandstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1792	"10082670"	1	"L"	""	"Leaching of silica or replacement by iron oxides or a combination of these processes."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
1793	"10307760"	1	"L"	""	"Tourmaline replacement and veining."	"ARDF migration"	"06-OCT-03"	""	""
1794	"10000986"	1	"L"	""	"The deepest oxidation evident is 30 ft below collar of shaft.  Most oxidation is above modern water table (Park, 1933)."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 16:16:21"
1795	"10035719"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1796	"10047017"	1	"L"	""	"Potassic, Phyllic, Propylitic, Zoned Around Fractures And Fault Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1797	"10013143"	1	"L"	""	"Hydrothermal Alteration, Bleaching"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1798	"10087001"	1	"L"	""	"Limonite, Scarn"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1799	"10046724"	1	"L"	""	"Silicification, Bleaching, Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1800	"10070083"	1	"L"	""	"Sericitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1801	"10013778"	1	"L"	""	"Silicification, Fluoritization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1802	"10061155"	1	"L"	""	"Biogenic Alteration Of Anhydrock To Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1803	"10019449"	1	"L"	""	"Oxidized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1804	"10025911"	1	"L"	""	"Chloritization, Serpentinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1805	"10025161"	1	"L"	""	"Unweathered"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1806	"10106042"	1	"L"	""	"Bleaching In Sandstone, Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1807	"10093589"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1808	"10013811"	1	"L"	""	"Tourmalinization Of Schistose Wallrock; Albite, Cleavelandite, And Sericite Replacement Of Spodumene"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1809	"10400280"	1	"R"	"None reported in documents reviewed."	""	"PSCHRUBE"	"02-SEP-08"	""	""
1810	"10048170"	1	"L"	""	"Chloritization, Pyritization"	"MRDS migration"	"29-OCT-02"	""	""
1811	"10102027"	1	"L"	""	"Wall Rock Sericitization And Kaolinization, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1812	"10079422"	1	"L"	""	"Chert and siderite to hematite and goethite in oxidation zones."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
1813	"10042550"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1814	"10079423"	1	"L"	""	"Chert and siderite to hematite to goethite in oxidation zones."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
1815	"10039950"	1	"L"	""	"Sericitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1816	"10310305"	1	"L"	""	"There were four alteration events: \n1. contactmetaorphism of the host sedimentary rocks during emplacement of the granitic plutons\n2. hydrothermal alteration associated with the metallization event\n3. clay and sericite alteration associated with faulting\n4. sugergene alteration"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1817	"10078308"	1	"L"	""	"Chlorite, Sericite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1818	"10019417"	1	"L"	""	"Intense Oxidation Of Suphide Ore"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1819	"10044287"	1	"L"	""	"Kaolinization Of Vein"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1820	"10045495"	1	"L"	""	"Silification Along Vein, Argillation Of Rhyolite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1821	"10043831"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1822	"10071870"	1	"L"	""	"Bleaching In Mudstone, Sandstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1823	"10071988"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1824	"10048437"	1	"L"	""	"Weak Phyllic, Structurally Controlled Propylitic.  Breccias Have Been Flooded By Silica"	"MRDS migration"	"29-OCT-02"	""	""
1825	"10106983"	1	"L"	""	"Albitization, Chloritization, And Carbonitization; Deposit Located Below Intense Epidotization; Weak Sericitization.  No Evidence Of Hydrothermal Alteration."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1826	"10098206"	1	"L"	""	"Minor Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1827	"10004041"	1	"L"	""	"Piritizacion"	"MRDS migration"	"29-OCT-02"	""	""
1828	"10097963"	1	"L"	""	"Moderate Bleaching"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1829	"10079240"	1	"L"	""	"Surface And Near-Surface Alteration Of Feldspathic Materials Only"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1830	"10310499"	1	"L"	""	"KAOLINIZATION, IRON-STAINING, SILICIFICATION"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1831	"10070026"	1	"L"	""	"Mn Stains, Fe Stains, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1832	"10307936"	1	"L"	""	"Quartz veining and apparently some disseminated pyrite and arsenopyrite in nearby schist."	"ARDF migration"	"06-OCT-03"	""	""
1833	"10015372"	1	"L"	""	"Limenitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1834	"10043907"	1	"L"	""	"Propylitization, Oxidation, Pyritization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1835	"10101678"	1	"L"	""	"Surface Ore Is Oxidized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1836	"10012176"	1	"L"	""	"Possibly Weak Argillization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1837	"10102263"	1	"L"	""	"Smithsonite, Calamine, Cerrusite After Sulfides"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1838	"10090248"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1839	"10094392"	1	"L"	""	"Fe-Stained Gossan"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1840	"10003283"	1	"L"	""	"Propylitic alteration as evidenced by the presense of chlorite and epidote."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 16:17:06"
1841	"10103794"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1842	"10012743"	1	"L"	""	"Dolomitization, And Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1843	"10096772"	1	"L"	""	"Development of tactite mineral assemblage in host rocks because of thermal effects of nearby biotite granite.  Locally intense silicification (C.C. Hawley and Associates, Inc., 1978)."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
1844	"10088017"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1845	"10307865"	1	"L"	""	"Massive pyrrhotite is heavily oxidized to ferricrete gossan."	"ARDF migration"	"06-OCT-03"	""	""
1846	"10307866"	1	"L"	""	"Extensive ferricrete oxidation of pyrrhotite and marmatite-rich sulfide zones."	"ARDF migration"	"06-OCT-03"	""	""
1847	"10042557"	1	"L"	""	"Silicification; Some Argillization; Sericitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1848	"10025148"	1	"L"	""	"Partly Weathered"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1849	"10055485"	1	"L"	""	"Thoroughly Oxidized.  The Quartzite Below The Ore Is Heavily Impregnated With Manganese And Iron Oxides."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1850	"10040245"	1	"L"	""	"Opalization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1851	"10010907"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1852	"10094065"	1	"L"	""	"Disseminated arsenopyrite in sheared metasedimentary schist."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
1853	"10087299"	1	"L"	""	"Highly Limonitic, Hemititic & Clay"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1854	"10105447"	1	"L"	""	"Mineralization Bleaches Arkose Beds"	"woodruff"	"17-OCT-2003 13:54:26"	""	""
1855	"10070462"	1	"L"	""	"Silicification, Ore Is Completely Oxidized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1856	"10098451"	1	"L"	""	"Clay Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1857	"10102030"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1858	"10070951"	1	"L"	""	"Fe Stain"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1859	"10046153"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1860	"10088757"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1861	"10078671"	1	"L"	""	"Chloritization Of Granite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1862	"10040712"	1	"L"	""	"Silicification (Opalite)"	"MRDS migration"	"29-OCT-02"	""	""
1863	"10087593"	1	"L"	""	"Early Barren Stage Of Alteration By Fumarolic Or Acid-Hot Spring Activity Resulted In Intense Silicification, Wallrock Replacement By Jasper And Alteration Products Hematite, Diaspore, Alunite, Barite, Zunyite, Rutile, And Kaolin Minerals.   Later Mineralizing Stage By Alkaline Or Neutral Solutions Deposited Ore And Gangue And Caused Micaceous Alteration (Sericite And Chlorite) And Calcite, Quartz, And Pyrite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1864	"10002508"	1	"L"	""	"Quartz veining and silica-carbonate alteration of mafic rocks."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 16:16:46"
1865	"10087805"	1	"L"	""	"Oxidation Of Cu, Ag, And Fe"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1866	"10070988"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1867	"10027088"	1	"L"	""	"Oxidation Of Pyrite, Chalcopyrite, Molybdenite; Granite Replaced B Y Quartz & Muscovite"	"MRDS migration"	"29-OCT-02"	""	""
1868	"10045969"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1869	"10048049"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-02"	""	""
1870	"10071702"	1	"L"	""	"Fe Stain"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1871	"10096294"	1	"L"	""	"Fe Oxides"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1872	"10021201"	1	"L"	""	"Silicification, Argillization, Hematitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1873	"10079976"	1	"L"	""	"Low Grade Regional Metamorphism (Almandine Garnet Grade)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1874	"10045893"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1875	"10107323"	1	"L"	""	"Chloritization, Sericitization, Pyritization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1876	"10010249"	1	"L"	""	"Hydrothermal Bleaching Is Common Within The District And Has Been Used As A Guide To Ore Deposits."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1877	"10043992"	1	"L"	""	"Pyritization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1878	"10003813"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1879	"10073128"	1	"L"	""	"Chloritization, Sericitization, Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1880	"10046722"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-02"	""	""
1881	"10086337"	1	"L"	""	"Leaching, Silicification, Dolomitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1882	"10103824"	1	"L"	""	"Silica Carbonate Alteration Of Serpentine"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1883	"10078307"	1	"L"	""	"Gouge"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1884	"10012914"	1	"L"	""	"Pervasive Propylitization; Locally Intense Argillization; Kaolinitization, Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1885	"10070966"	1	"L"	""	"Bleached, Oxidized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1886	"10040312"	1	"L"	""	"See Comments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1887	"10104003"	1	"L"	""	"Silicification, Clay. Alteration Minerals Associated With Mercury Ores Include Quartz, Alunite And Kaolinite And The Rock Is Largely C-Onverted To Opalite Consisting Of Quartz And Chalcedony. At De-Eper Levels, The Alteration Assemblages Consist Of Illite-Mont-Morillonite And Calcite-Chlorite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1888	"10025156"	1	"L"	""	"Weathered"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1889	"10006556"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1890	"10094110"	1	"L"	""	"Supergena: Oxidacion"	"MRDS migration"	"29-OCT-02"	""	""
1891	"10026925"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-02"	""	""
1892	"10043994"	1	"L"	""	"Strong Hydrothermal Alteration Of Chert & Shale."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1893	"10012957"	1	"L"	""	"Early Barren Stage Of Alteration By Fumarolic Or Acid-Hot Spring Activity Resulted In Intense Silicification, Wallrock Replacement By Jasper And Alteration Products Hematite, Diaspore, Alunite, Barite, Zunyite, Rutile, And Kaolin Minerals. Later Mineralizing Stage By Alkaline Or Neutral Solutions Deposited Ore And Gangue And Caused Micaceous Alteration (Sericite And Chlorite) And Calcite, Quartz, And Pyrite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1894	"10102065"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1895	"10105711"	1	"L"	""	"Chlorite-Sericite"	"MRDS migration"	"29-OCT-02"	""	""
1896	"10027534"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1897	"10310424"	1	"L"	""	"Alteration consists predominantly of silicification and intense clay alteration. Alteration outward from the pyritic zone enveloping the Bell vein is kaolinite, followed by illite/montmorillonite, then by quartz-chlorite-quartz-calcite, then fresh rock. The kaolinite zone is more extensive in the hanging wall of the veins. There is little unaltered rock under Buckskin Mountain. Magnetite in the calcite-quartz-chlorite zone goes to pyrite in the illite-montmorillonite zone. Vertical alteration zoning is: top of Buckskin mtn.= silica cap, Hg and silicification; 20- m down (vertically) rhyolite is altered to alunite + quartz; -then to depths of several hundred meters selvages of kaolinitic alteration border the veins to depths of several hundred meters; then at depths below the level of the workings (core-drilled by ASARCO), K-mica alteration reportedly occurs in and around the veins."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1898	"10106998"	1	"L"	""	"Phyllic, Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1899	"10057817"	1	"L"	""	"Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1900	"10058462"	1	"L"	""	"Phyllic, Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1901	"10045406"	1	"L"	""	"Scapolitization, Chloritization"	"MRDS migration"	"29-OCT-02"	""	""
1902	"10080996"	1	"L"	""	"Most Of Galena Found In Clay Was Altered On Exterior To A Gray Coating Of Pyromorphite, A Lead Po. Formation Residuvm."	"MRDS migration"	"29-OCT-02"	""	""
1903	"10101817"	1	"L"	""	"(See Back)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1904	"10013749"	1	"L"	""	"Fe Oxides"	"MRDS migration"	"29-OCT-02"	""	""
1905	"10109808"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1906	"10307937"	1	"L"	""	"Oxidation."	"ARDF migration"	"06-OCT-03"	""	""
1907	"60001664"	2	"L"	"SILICIFICATION"	"SILICIFICATION"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1908	"60001664"	1	"L"	"OXIDATION"	"OXIDATION"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
1909	"10101611"	1	"L"	""	"Bleaching"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1910	"10078321"	1	"L"	""	"Gossan"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1911	"10044098"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1912	"10094746"	1	"L"	""	"Bleaching In Clay"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1913	"10020403"	1	"L"	""	"Zeolite & Minor Be & F"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1914	"10111069"	1	"L"	""	"Silicification, Sulfatization Albitization, Chloritization, Hydrous Mica Alteration And Pyritization."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1915	"10310464"	1	"L"	""	"High-level alteration consisting of chalcedonic and opaline silica, argillization and anomalous pathfinder geochemistry appears widespread and suggests that the mineral system is large. Silicification is prevalent."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1916	"10042760"	1	"L"	""	"Propylitization?"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1917	"10019774"	1	"L"	""	"Sericitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1918	"10104194"	1	"L"	""	"Sericitic, Silicic, Chlorite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1919	"10001984"	1	"L"	""	"Bleaching of marble and oxidation."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
1920	"10088984"	1	"L"	""	"Clays"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1921	"10001781"	1	"L"	""	"Silicification is indicated."	"MRDS migration"	"29-OCT-02"	"ARDF Migration"	"23-AUG-07"
1922	"10048152"	1	"L"	""	"Minor Fe-Staining"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1923	"10105938"	2	"L"	""	"Zone of disseminated siderite extends 10s to 100s of meters out from the veins, passing into a siderite-ankerite zone up to 10s of meters wide, and then into a zone of ankerite-calcite 100s of meters wide."	"Long, Keith R."	"22-MAR-2005 00:00:00"	"Long, Keith R."	"22-MAR-2005 00:00:00"
1924	"10105938"	1	"L"	""	"Sericitization; Bleaching of hematite-bearings sediments; Chloritization"	"Long, Keith R."	"22-MAR-2005 00:00:00"	"Long, Keith R."	"22-MAR-2005 00:00:00"
1925	"10105938"	3	"L"	""	"The deposit is at least partly oxidized down to about 600 meters depth, presumably along major faults.  Shallow orebodies mined in the 1880s to early 1900s were largely oxidized with cerussite as the principal ore mineral."	"Long, Keith R."	"22-MAR-2005 00:00:00"	"Long, Keith R."	"22-MAR-2005 00:00:00"
1926	"10015846"	1	"L"	""	"Pyritized Sericitized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1927	"10013254"	1	"L"	""	"Fe And Mn Oxides"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1928	"10020837"	1	"L"	""	"Argillization, Sand Dolomite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1929	"10048308"	1	"L"	""	"Not Deeply Oxidized, Some Fresh Sulfides"	"MRDS migration"	"29-OCT-02"	""	""
1930	"10089745"	1	"L"	""	"Weathering"	"woodruff"	"20-OCT-2003 11:40:19"	""	""
1931	"10047206"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1932	"10027882"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1933	"10015703"	1	"L"	""	"Pyritic, Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1934	"10014873"	1	"L"	""	"Bleaching, Calc-Silicates, Minor Silicification, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1935	"10040302"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1936	"10020914"	1	"L"	""	"Sericitization, Chloritization, And Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1937	"10280840"	1	"L"	"Laterization"	""	"AWILSON"	"15-JUL-09"	""	""
1938	"10101625"	1	"L"	""	"Bleached, Marbleized, Skarn"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1939	"10026843"	1	"L"	""	"Some Silicification, Vein Matter Well Oxidized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1940	"10014120"	1	"L"	""	"Oxidation Of Sulfide Ores"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1941	"10055833"	2	"L"	"Oxidation"	""	"DCAUSEY"	"06-DEC-10"	""	""
1942	"10106125"	1	"L"	""	"Chert and siderite to hematite and goethite in oxidation zone."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
1943	"10109001"	1	"L"	""	"Minor"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1944	"10011741"	1	"L"	""	"Silicification Of Dolomite Sealed Vein For Later Ore Deposition."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1945	"10078664"	1	"L"	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1946	"10088879"	1	"L"	""	"Distinct Contact Metamorphic Zone Between Limestones And Porphyry Associated With A Hardening Of Sedimentary Layers And Substantial Development Of Epidote And Magnetite"	"MRDS migration"	"29-OCT-02"	""	""
1947	"10097937"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1948	"10055093"	1	"L"	""	"Decalcification Of Ore Zone And Wall Rocks; Feox-Staining And Jasperoidal Silicification Locally."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1949	"10070163"	1	"L"	""	"Chlorite, Epidote, Calcite, Sericite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1950	"10310544"	1	"L"	""	"Argillization of basaltic andesite host rock is the main alteration.  Underlying and overlying sediments are silicified.  The upper two-thirds (100 ft.) of the mineralized zone is oxidized, the lower third is pyritic.  The oxidation of the upper portion is believed to be hypogene, not supergene.  In the oxide zone, white kaolinite-rich rocks are found at the center surrounded by purple montmorillonite-rich rocks in peripheral locations.  The change in color typically marks the edge of the possible ore zone.  Major elements introduced during alteration include Si, Al, K, and Ti.  Major elements depleted in altered rocks are Mg, Ca, Na, Mn."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
1951	"10046382"	1	"L"	""	"Contact, Hydrothermal"	"MRDS migration"	"29-OCT-02"	""	""
1952	"10078958"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1953	"10069871"	1	"L"	""	"Oxidized; Mn Stains"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1954	"10033286"	1	"L"	""	"Serpentinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1955	"10007918"	1	"L"	""	"Zone Of Silicification And Pyritization.  Marsh Indicates Silicification Of Tuffs Near Quartz Veins Only.  Goethite Is The Most Common Oxidation Product Of Pyrite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1956	"10047261"	1	"L"	""	"Silicification, Argillization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1957	"10069100"	1	"L"	""	"Selvage"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1958	"10078491"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1959	"10088353"	1	"L"	""	"Slight Bleaching"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1960	"10088123"	1	"L"	""	"Local Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1961	"10037078"	1	"L"	""	"Shales Somewhat Chloritized, Vein Wall Rocks Altered To Quartz, Ca Lcite, & Sericite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1962	"10107309"	1	"L"	""	"See Comments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1963	"10181391"	1	"L"	"Potassic"	""	"DCAUSEY"	"11-AUG-11"	""	""
1964	"10013715"	1	"L"	""	"Fe Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1965	"10015216"	1	"L"	""	"Argillic Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1966	"10045201"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1967	"10058002"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1968	"10057811"	1	"L"	""	"Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1969	"10103833"	1	"L"	""	"Host Rocks Are Partly Altered To Clay And Calcite And Impregnated With Calcite  And Chalcedony Veinlets"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1970	"10023125"	1	"L"	""	"Hidrotermal"	"MRDS migration"	"29-OCT-02"	""	""
1971	"10048352"	1	"L"	""	"Andesite Is Crushed And Highly Altered To Soft Vein Material"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
1972	"10020035"	1	"L"	""	"Dolomitization And Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
